Codigo,Nome,CodCurto,PVPBase,PesoBrt,Marca,Familia,NomeXtra,GAMA,Familia,subfamilia,stock
350001048354,Aspirador Beko VCM 71602 AD,48354,"170,00","9,5",BEKO,190,800 W | Sem saco | Tubo Metálico,PEQUENOS DOMÉSTICOS,APARELHOS DE LIMPEZA,ASPIRADOR SEM SACO,sim
350001048352,Aspirador Beko VCO 42701 AB,48352,"103,00","9,5",BEKO,190,800 W | Sem saco | Tubo Metálico,PEQUENOS DOMÉSTICOS,APARELHOS DE LIMPEZA,ASPIRADOR SEM SACO,sim
350001048353,Aspirador Beko VCO 62602 AB,48353,"149,50","9,5",BEKO,190,800 W | Sem saco | Tubo Metálico,PEQUENOS DOMÉSTICOS,APARELHOS DE LIMPEZA,ASPIRADOR SEM SACO,sim
350065069201,Unidade Exterior Beko BEVCA 091,69201,"0,00",0,BEKO,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,sim
350065069204,Unidade Exterior Beko BEVCA 121,69204,"0,00",0,BEKO,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,sim
350065069206,Unidade Exterior Beko BEVCA 181,69206,"0,00",0,BEKO,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,sim
375065069517,Unidade Exterior Hisense AS-09UR4SVPSC5W,69517,"0,00",30,HISENSE,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,sim
375065069521,Unidade Exterior Hisense AST-09UW4SVE10,69521,"331,00",30,HISENSE,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,sim
375065069535,Unidade Exterior Hisense AUW-18U4SZ1,69535,"0,00",59,HISENSE,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,sim
375065069529,Unidade Exterior Hisense AUW-24U4SA1,69529,"0,00",59,HISENSE,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,não
350065069200,Unidade Interior Beko BEVCA 090,69200,"0,00",0,BEKO,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,sim
350065069203,Unidade Interior Beko BEVCA 120,69203,"0,00",0,BEKO,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,sim
350065069205,Unidade Interior Beko BEVCA 180,69205,"0,00",0,BEKO,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,sim
375065069545,Unidade Interior Hisense AMV-12UX4SA,69545,"0,00",24,HISENSE,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,sim
375065069516,Unidade Interior Hisense AS-09UR4SVPSC5G,69516,"128,00",10,HISENSE,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,sim
375065069520,Unidade Interior Hisense AST-09UW4STG10,69520,"164,00",11,HISENSE,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,sim
375065069526,Unidade Interior Hisense AST-24UW4STG10,69526,"0,00",16,HISENSE,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,não
375065069542,Unidade Interior Hisense AUV-24UR4SAA1,69542,"0,00",59,HISENSE,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,não
375065060551,Ar Condicionado Hisense Multi (Unid.Ext.) AMW4-36U4SAD1,60551,"1 368,00",77,HISENSE,105,,CLIMATIZAÇÃO,AR CONDICIONADO,AR COND.MULTI-SPLIT,sim
GMM2400,Alisador Cabelo Grundig HS 3830,GMM2400,"19,20","0,576",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,APARADORES,sim
GML8200,Alisador Cabelo Grundig HS 8730,GML8200,"41,50","0,708",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,APARADORES,sim
GMN3560,Aparador Cabelo Grundig MC 3320,GMN3560,"21,99","0,889",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,APARADORES,sim
GMN3660,Aparador Cabelo Grundig MC 3340,GMN3660,"27,99","0,889",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,APARADORES,sim
GML7900,Aparador Cabelo Grundig MC 7740,GML7900,"37,00","0,88899999856949",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,APARADORES,sim
GML2600,Aparador Multi-funções Grundig MT 1610,GML2600,"12,00","0,69999998807907",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,APARADORES,não
GMK1200,Balança Grundig PS 2010,GMK1200,"0,00",3,GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,BALANÇAS DE W.C.,sim
GMK1210,Balança Grundig PS 4110,GMK1210,"0,00",3,GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,BALANÇAS DE W.C.,sim
GMM0800,Balança Grundig PS 8710,GMM0800,"77,00",3,GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,BALANÇAS DE W.C.,sim
GMM9900,Depiladora Grundig LE 7940,GMM9900,"47,90","0,81",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,DEPILADORAS,sim
GMK5400,Modelador Cabelo Grundig HS 6580,GMK5400,"29,90","0,797",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,MODELADORES,sim
GML7700,Secador Cabelo Grundig HD 3700,GML7700,"16,50","0,638",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,SECADORES DE CABELO,sim
GMN0400,Secador Cabelo Grundig HD 6080,GMN0400,"25,99","0,455",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,SECADORES DE CABELO,sim
GMM8210,Secador Cabelo Grundig HD 6862,GMM8210,"29,99","0,455",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,SECADORES DE CABELO,não
GMN3460,Secador Cabelo Grundig HD 9280,GMN3460,"45,99","0,455",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,SECADORES DE CABELO,sim
GMM8600,Escova Dentes SONIC Grundig TB 7930,GMM8600,"34,70","0,78",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,ESCOVAS DE DENTES,sim
GMM4200,Manicure/Pedicure Grundig MA 5820,GMM4200,"29,90","0,55",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,PEDICURE/MANICURE,sim
GMM0600,Massajador Pés Grundig FM 8720,GMM0600,"65,00","5,5050001144409",GRUNDIG,190,,PEQUENOS DOMÉSTICOS,ASSEIO PESSOAL,MASSAJADORES,sim
GKL0320,Rádio Relógio Grundig SonoClock 230 USB White,GKL0320,"80,00","0,5",GRUNDIG,230,Rádio Relógio Despertador. Rádio FM RDS recepção. Sintetizador de frequências PLL. Micro SD card Slot. Porta USB. 3 estações pre definidas. Alimentação 230V e bateria de segurança 2 x 1.5 V. Diametro: 10.8 cm.  Cor: Branco/Laranja.,IMAGEM E SOM,AUDIO PORTATIL,RADIO RELOGIO,sim
GKR2600,Rádio Relógio Grundig SonoClock 490,GKR2600,"35,00","0,8",GRUNDIG,230,"Rádio Relógio Despertador. 2 Alarmes, por rádio ou sinal sonoro. Rádio FM/AM. Control automático de frequência (AFC). Alimentação 230V e bateria de segurança. Display cor âmbar. Medidas: 20 x 12 x 5.5 cm.  Cor: Prata/Titane",IMAGEM E SOM,AUDIO PORTATIL,RADIO RELOGIO,sim
GKR2800,Rádio Relógio Grundig SonoClock 590,GKR2800,"33,00","0,8",GRUNDIG,230,"Rádio Relógio Despertador. 2 Alarmes, por rádio ou sinal sonoro. Rádio FM/AM. Control automático de frequência (AFC). Alimentação 230V e bateria de segurança. Display cor âmbar. Medidas: 11 x 11 x 11 cm.  Cor: Prata/Titane",IMAGEM E SOM,AUDIO PORTATIL,RADIO RELOGIO,sim
GKR1600,Rádio Relógio Grundig SonoClock 660,GKR1600,"41,00","0,9",GRUNDIG,230,,IMAGEM E SOM,AUDIO PORTATIL,RADIO RELOGIO,sim
GKR3140,Rádio Relógio Grundig SonoClock KSC 35 Branco,GKR3140,"16,50","0,76",GRUNDIG,230,"Rádio Relógio Despertador. 1 Alarme por rádio ou sinal sonoro. Snooze 9 min. Indicador de alarme. Rádio FM/AM. Alimentação 230V e bateria de segurança. LED cor verde. Medidas: 18,5 x 4,5 x 13,0 cm. Cor: Negro.",IMAGEM E SOM,AUDIO PORTATIL,RADIO RELOGIO,sim
GKR3130,Rádio Relógio Grundig SonoClock KSC 35 Preto,GKR3130,"16,50","0,76",GRUNDIG,230,"Rádio Relógio Despertador. 1 Alarme por rádio ou sinal sonoro. Snooze 9 min. Indicador de alarme. Rádio FM/AM. Alimentação 230V e bateria de segurança. LED cor verde. Medidas: 18,5 x 4,5 x 13,0 cm. Cor: Negro.",IMAGEM E SOM,AUDIO PORTATIL,RADIO RELOGIO,não
GKR2310,Rádio Relógio Grundig SonoClock SC 600,GKR2310,"17,00","0,79",GRUNDIG,230,"Rádio Relógio Despertador. 1 Alarme por rádio ou sinal sonoro. Snooze 9 min. Indicador de alarme. Rádio FM/AM. Alimentação 230V e bateria de segurança. LED cor verde. Medidas: 18,5 x 4,5 x 13,0 cm. Cor: Prata/Titane",IMAGEM E SOM,AUDIO PORTATIL,RADIO RELOGIO,sim
