Codigo,Nome,CodCurto,PVPBase,PesoBrt,Marca,Familia,NomeXtra,Gama,Familia,SubFamilia,status
350033047640,Maq.Louça Beko DFN 38530 X,47640,454,"52,2",BEKO,135,15 Talheres | LCD Display | Aqua intensive | Motor ProSmart Inverter | 9 Programas | Ever Clean filter | Iluminação Interior | Consumo Água: 10 L | Classe A+++,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 60 Cm,sim
350033047625,Maq.Louça Beko DFN 39431 X,47625,479,50,BEKO,135,14 Talheres | Aqua intensive | 9 Programas | Ever Clean filter  | Classe A+++AA,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 60 Cm,sim
350033047638,Maq.Louça Beko DFN 39530 X,47638,481,"52,2",BEKO,135,15 Talheres | LCD Display | Aqua intensive | Motor ProSmart Inverter | 9 Programas | Ever Clean filter | Iluminação Interior | Consumo Água: 10 L | Classe A+++,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 60 Cm,sim
350033047593,Maq.Louça Beko DFS 05011 W,47593,319,"42,3",BEKO,135,10 Talheres | 45 cm | 5 Programas | Classe A+AA,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 45 Cm,não
350033047600,Maq.Louça Beko DFS 05011 X,47600,339,"42,3",BEKO,135,10 Talheres | 5 Programas | Meia Carga | Classe A+AA | 45 cm,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 45 Cm,não
350033047633,Maq.Louça Beko DFS 05013 W,47633,319,"39,9",BEKO,135,10 Talheres | 5 Programas |Time Delay 3-6-9h | Consumo Água: 13 L | Classe A+ | 45 cm | Branco,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 45 Cm,sim
350033047634,Maq.Louça Beko DFS 05013 X,47634,339,"40,8",BEKO,135,10 Talheres | 5 Programas |Time Delay 3-6-9h | Consumo Água: 13 L | Classe A+ | 45 cm | Inox,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 45 Cm,sim
350033047612,Maq.Louça Beko DFS 28020 W,47612,354,"42,3",BEKO,135,10 Talheres | 8 Programas | Meia Carga | Classe A++AA | 45 cm,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 45 Cm,não
350033047632,Maq.Louça Beko DFS 28021 W,47632,378,"38,1",BEKO,135,10 Talheres | 8 Programas | Display Digital | Aquaintense | Motor ProSmart Inverter | Consumo Água: 10 L | Meia Carga | Classe A++ | 45 cm | Branco,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 45 Cm,sim
350033047631,Maq.Louça Beko DFS 28021 X,47631,395,"38,6",BEKO,135,10 Talheres | 8 Programas | Display Digital | Aquaintense | Motor ProSmart Inverter | Consumo Água: 10 L | Meia Carga | Classe A++ | 45 cm | Inox,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 45 Cm,sim
350033047617,Maq.Louça Beko DSN 15420 X,47617,435,"48,4",BEKO,115,12 Talheres | 5 Programas | Classe A++A | Painel Inox,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.LOUÇA,MAQ.LAVAR LOUÇA 60 Cm,sim
350033047502,Maq.Louça Integ. Beko D 3520 BW,47502,325,44,BEKO,115,12 Talheres | 5 Programas | Classe B | Branca,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.LOUÇA,MAQ.LAVAR LOUÇA 60 Cm,sim
