45830669,"FRIG TEFAL ONLY COOK-20CM.-B3140222M",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",360,"ARTIGOS DE MENAGE",3600362,"FRIGIDEIRAS                                       ",",00","13,90","9,17",não,não,não,não,B3140222M,"3168430249912 ","0,33","2,584",40,340,190,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830669 ","Dimensão do Produto: 20 cm<BR>Cor: Alumínio / Preto  <BR>Garantia: 2 anos<BR>-","Dimensão do Produto:20 cm<br>Cor:Alumínio / Preto <br>Características:Thermo-spot: indicador de temperatura<BR>Revestimento interior antiaderente Power Glide<BR>Revestimento exterior antiaderente<BR>Pega fixa em baquelite<BR>Compatível com gás, elétrica, cerâmica e halogéneo <br>Garantia:2 anos<br>",,,Sim,
45830670,"FRIG TEFAL ONLY COOK-24CM.-B3140422M",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",360,"ARTIGOS DE MENAGE",3600362,"FRIGIDEIRAS                                       ",",00","15,90","10,48",não,não,não,não,B3140422M,"3168430249929 ","0,435","3,68",40,400,230,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830670 ","Dimensão do Produto: 24 cm<BR>Cor: Alumínio / Preto  <BR>Garantia: 2 anos<BR>-","Dimensão do Produto:24 cm<br>Cor:Alumínio / Preto <br>Características:Thermo-spot: indicador de temperatura<BR>Revestimento interior antiaderente Power Glide<BR>Revestimento exterior antiaderente<BR>Pega fixa em baquelite<BR>Compatível com gás, elétrica, cerâmica e halogéneo <br>Garantia:2 anos<br>",,,Sim,
45830672,"FRIG TEFAL ONLY COOK-28CM.-B3140622M",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",360,"ARTIGOS DE MENAGE",3600362,"FRIGIDEIRAS                                       ",",00","17,90","11,78",não,não,não,não,B3140622M,"3168430249936 ","0,56","4,644",40,430,270,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830672 ","Dimensão do Produto: 28 cm<BR>Cor: Alumínio / Preto  <BR>Garantia: 2 anos<BR>-","Dimensão do Produto:28 cm<br>Cor:Alumínio / Preto <br>Características:Thermo-spot: indicador de temperatura<BR>Revestimento interior antiaderente Power Glide<BR>Revestimento exterior antiaderente<BR>Pega fixa em baquelite<BR>Compatível com gás, elétrica, cerâmica e halogéneo <br>Garantia:2 anos<br>",,,Sim,
45830673,"FRIG TEFAL ONLY COOK-30CM.-B3140722M",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",360,"ARTIGOS DE MENAGE",3600362,"FRIGIDEIRAS                                       ",",00","19,90","13,10",não,não,não,não,B3140722M,"3168430249943 ","0,71","6,67",50,460,290,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830673 ","Dimensão do Produto: 30 cm<BR>Cor: Alumínio / Preto  <BR>Garantia: 2 anos<BR>-","Dimensão do Produto:30 cm<br>Cor:Alumínio / Preto <br>Características:Thermo-spot: indicador de temperatura<BR>Revestimento interior antiaderente Power Glide<BR>Revestimento exterior antiaderente<BR>Pega fixa em baquelite<BR>Compatível com gás, elétrica, cerâmica e halogéneo <br>Garantia:2 anos<br>",,,Sim,
45830674,"FRIG TEFAL ONLY COOK-32CM.-B3140822M",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",360,"ARTIGOS DE MENAGE",3600362,"FRIGIDEIRAS                                       ",",00","21,90","14,41",não,não,não,não,B3140822M,"3168430249950 ","0,765","5,828",40,470,310,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830674 ","Dimensão do Produto: 32 cm<BR>Cor: Alumínio / Preto  <BR>Garantia: 2 anos<BR>-","Dimensão do Produto:32 cm<br>Cor:Alumínio / Preto <br>Características:Thermo-spot: indicador de temperatura<BR>Revestimento interior antiaderente Power Glide<BR>Revestimento exterior antiaderente<BR>Pega fixa em baquelite<BR>Compatível com gás, elétrica, cerâmica e halogéneo <br>Garantia:2 anos<br>",,,Sim,
45830675,"FRIG TEFAL ONLY COOK-WOK  -B3141922M",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",360,"ARTIGOS DE MENAGE",3600362,"FRIGIDEIRAS                                       ",",00","25,90","17,04",não,não,não,não,B3141922M,"3168430249905 ","0,47","10,08",25,430,260,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830675 ","Dimensão do Produto: 28 cm<BR>Cor: Alumínio / Preto  <BR>Garantia: 2 anos<BR>-","Dimensão do Produto:28 cm<br>Cor:Alumínio / Preto <br>Características:Thermo-spot: indicador de temperatura<BR>Revestimento interior antiaderente Power Glide<BR>Revestimento exterior antiaderente<BR>Pega fixa em baquelite<BR>Compatível com gás, elétrica, cerâmica e halogéneo <br>Garantia:2 anos<br>",,,Sim,
45830676,"CREPEIRA TEFAL ONLY COOK  -B3141002M",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",360,"ARTIGOS DE MENAGE",3600366,"PEQ.APARELHOS COZINHA                             ",",00","16,90","11,13",não,não,não,não,B3141002M,"3168430255715 ","0,472","3,442",425,135,60,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830676 ","Cor: Alumínio Preto  <BR>Garantia: 2 anos<BR>-","Cor:Alumínio Preto <br>Características:Revestimento interior antiaderente Power Glide<BR>Revestimento exterior antiaderente<BR>Pega fixa em baquelite<BR>Compatível com gás, elétrica, cerâmica e halogéneo <br>Garantia:2 anos<br>",,,Sim,
45830677,"TACHO TEFAL ONLY COOK-24CM-B3144602M",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",360,"ARTIGOS DE MENAGE",3600363,"TACHOS                                            ",",00","33,90","22,28",não,não,não,não,B3144602M,"3168430255722 ","1,53","13,689",130,390,270,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830677 ","Dimensão do Produto: 24 cm<BR>Cor: Alumínio / Preto  <BR>Garantia: 2 anos<BR>-","Dimensão do Produto:24 cm<br>Cor:Alumínio / Preto <br>Características:Revestimento interior antiaderente Power Glide<BR>Revestimento exterior antiaderente<BR>Pega fixa em baquelite<BR>Compatível com gás, elétrica, cerâmica e halogéneo<BR>Tampa vidro <br>Garantia:2 anos<br>",,,Sim,
45830678,"PLACA TEFAL INDUÇ.PORT.2100-IH2018PT",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",310,"APARELHOS DE COZINHA",3100320,"MAQUINAS DE COZINHA                               ",",00","86,90","55,43",não,não,não,sim,IH2018PT,"8432322261951 ","4,5","15,99",410,300,130,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830678 ","Potência: 2100 W<BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Potência:2100 W<br>Cor:Preto <br>Características:Ecrã digital<BR>9 níveis de potência<BR>6 programas<BR>Temporizador<BR>Segurança para crianças <br>Garantia:2 anos<br>",,,Não,
45830679,"FERRO TEFAL VAP.2400W.EASYG-FV3965E0",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",300,"CUIDADO DE ROUPA",3000301,"FERROS A VAPOR                                    ",",00","50,90","34,08",não,não,não,não,FV3965E0,"3121040068540 ","3,5","3,3",100,150,220,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830679 ","Potência: 2400 W<BR>Base: Durilium Airglide Tecnology  <BR>Vapor Constante: 35 gr./min.<BR>Produção Máx. Vapor: 145 gr./min.<BR>Reservatório: 270 ml  <BR>Cor: Branco / Verde  <BR>Garantia: 2 anos<BR>-","Potência:2400 W<br>Base:Durilium Airglide Tecnology <br>Vapor Constante:35 gr./min.<br>Produção Máx. Vapor:145 gr./min.<br>Reservatório:270 ml <br>Cor:Branco / Verde <br>Características:Definição do vapor e da temperatura automático<BR>Vapor vertical<BR>Spray<BR>Ponta de precisão<BR>Autosteam<BR>Função autolimpeza<BR>Pega confortável<BR>Estabilidade na vertical<BR>Orifício de enchimento extra largo<BR>Sistema anti-gota<BR>Sistema anticalcário <br>Garantia:2 anos<br>",,,Sim,
45830686,"CAÇA TEFAL ELEGANCE-16CM.  -C3672802",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",360,"ARTIGOS DE MENAGE",3600361,"CAÇAROLAS                                         ",",00","17,90","11,78",não,não,não,não,C3672802,"3168430266094 ",0,0,0,0,0,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830686 ","Dimensão do Produto: 16 cm<BR>Cor: Cinzento  <BR>Garantia: 2 anos<BR>-","Dimensão do Produto:16 cm<br>Cor:Cinzento <br>Características:Thermo-spot: indicador de temperatura<BR>Revestimento interior anti-aderente Titanium Extra<BR>Revestimento exterior antiaderente<BR>Pega em baquelite fixa<BR>Compatível com gás, elétrica, cerâmica e halogéneo<BR>Rebordo lateral <br>Garantia:2 anos<br>",,,Não,
45830687,"CAÇA TEFAL ELEGANCE-20CM.  -C3673002",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",360,"ARTIGOS DE MENAGE",3600361,"CAÇAROLAS                                         ",",00","19,90","13,68",não,não,não,sim,C3673002,"3168430266100 ",0,0,0,0,0,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830687 ","Dimensão do Produto: 20 cm<BR>Cor: Cinzento  <BR>Garantia: 2 anos<BR>-","Dimensão do Produto:20 cm<br>Cor:Cinzento <br>Características:Thermo-spot: indicador de temperatura<BR>Revestimento interior anti-aderente Titanium Extra<BR>Revestimento exterior antiaderente<BR>Pega em baquelite fixa<BR>Compatível com gás, elétrica, cerâmica e halogéneo<BR>Rebordo lateral <br>Garantia:2 anos<br>",,,Não,
45830688,"FRIG TEFAL ELEGANCE-20CM.  -C3670202",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",360,"ARTIGOS DE MENAGE",3600362,"FRIGIDEIRAS                                       ",",00","17,54","11,54",sim,não,não,não,C3670202,"3168430266148 ",2,"1,86",30,200,310,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830688 ","Dimensão do Produto: 20 cm<BR>Cor: Cinzento  <BR>Garantia: 2 anos<BR>-","Dimensão do Produto:20 cm<br>Cor:Cinzento <br>Características:Thermo-spot: indicador de temperatura<BR>Revestimento interior anti-aderente Titanium Extra<BR>Revestimento exterior antiaderente<BR>Pega em baquelite fixa<BR>Compatível com gás, elétrica, cerâmica e halogéneo<BR>Rebordo lateral <br>Garantia:2 anos<br>",,,Sim,
45830689,"FRIG TEFAL ELEGANCE-24CM.  -C3670402",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",360,"ARTIGOS DE MENAGE",3600362,"FRIGIDEIRAS                                       ",",00","19,90","13,10",não,não,não,não,C3670402,"3168430266155 ","0,69","6,996",440,265,60,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830689 ","Dimensão do Produto: 24 cm<BR>Cor: Cinzento  <BR>Garantia: 2 anos<BR>-","Dimensão do Produto:24 cm<br>Cor:Cinzento <br>Características:Thermo-spot: indicador de temperatura<BR>Revestimento interior anti-aderente Titanium Extra<BR>Revestimento exterior antiaderente<BR>Pega em baquelite fixa<BR>Compatível com gás, elétrica, cerâmica e halogéneo<BR>Rebordo lateral <br>Garantia:2 anos<br>",,,Sim,
45830690,"FRIG TEFAL ELEGANCE-26CM.  -C3670502",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",360,"ARTIGOS DE MENAGE",3600362,"FRIGIDEIRAS                                       ",",00","21,90","14,41",não,não,não,não,C3670502,"3168430266162 ","0,87","6,44",50,280,460,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830690 ","Dimensão do Produto: 26 cm<BR>Cor: Cinzento  <BR>Garantia: 2 anos<BR>-","Dimensão do Produto:26 cm<br>Cor:Cinzento <br>Características:Thermo-spot: indicador de temperatura<BR>Revestimento interior anti-aderente Titanium Extra<BR>Revestimento exterior antiaderente<BR>Pega em baquelite fixa<BR>Compatível com gás, elétrica, cerâmica e halogéneo<BR>Rebordo lateral <br>Garantia:2 anos<br>",,,Sim,
45830691,"FRIG TEFAL ELEGANCE-28CM.  -C3670602",93,TEFAL,3,"PEQUENOS DOMÉSTICOS",360,"ARTIGOS DE MENAGE",3600362,"FRIGIDEIRAS                                       ",",00","23,90","15,71",não,não,não,não,C3670602,"3168430266179 ","0,974","12,81",95,465,290,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=45830691 ","Dimensão do Produto: 28 cm<BR>Cor: Cinzento  <BR>Garantia: 2 anos<BR>-","Dimensão do Produto:28 cm<br>Cor:Cinzento <br>Características:Thermo-spot: indicador de temperatura<BR>Revestimento interior anti-aderente Titanium Extra<BR>Revestimento exterior antiaderente<BR>Pega em baquelite fixa<BR>Compatível com gás, elétrica, cerâmica e halogéneo<BR>Rebordo lateral <br>Garantia:2 anos<br>",,,Sim,
