19538829,"COLUNA/APAREL NGS   300W-WILDPUNK1",385,NGS,5,INFORMÁTICA,590,ACESSÓRIOS,5900597,"ACESSÓRIOS DE SOM                                 ","199,00","183,08","118,44",sim,não,não,não,WILDPUNK1,"8435430613032 ","13,38","108,664",340,340,940,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19538829 ","Som: 300 W<BR>Cor: Silver  <BR>Acessórios Incluídos: Controle remoto  <BR>Garantia: 2 anos<BR>-","Som:300 W<br>Cor:Silver <br>Características:Tecnologia Bluetooth<BR>Sintonizador FM<BR>Entrada de áudio SD<BR>USB<BR>Entrada auxiliar<BR>Entrada de microfone<BR>Entrada de guitarra<BR>Indicador LED<BR>Luzes LED<BR>Saída AUX <br>Acessórios Incluídos:Controle remoto <br>Garantia:2 anos<br>",,,Sim,
19538830,"COLUNA/APAREL NGS   700W-WILDPUNK2",385,NGS,5,INFORMÁTICA,590,ACESSÓRIOS,5900597,"ACESSÓRIOS DE SOM                                 ","269,00","269,00","174,03",não,não,não,não,WILDPUNK2,"8435430613025 ",29,"262,752",1190,480,460,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19538830 ","Som: 700 W<BR>Cor: Preto  <BR>Acessórios Incluídos: Controle remoto  <BR>Garantia: 2 anos<BR>-","Som:700 W<br>Cor:Preto <br>Características:Tecnologia Bluetooth<BR>Sintonizador FM<BR>Entrada de áudio SD<BR>USB<BR>Entrada auxiliar<BR>Entrada de microfone<BR>Entrada de guitarra<BR>Indicador LED<BR>Luzes LED<BR>Saída AUX<BR>Rodas <br>Acessórios Incluídos:Controle remoto <br>Garantia:2 anos<br>",,,Sim,
19538831,"COLUNA/APAREL NGS  1000W-WILDPUNK3",385,NGS,5,INFORMÁTICA,590,ACESSÓRIOS,5900597,"ACESSÓRIOS DE SOM                                 ","369,00","369,00","238,72",não,não,não,não,WILDPUNK3,"8435430613018 ",35,"351,816",1370,535,480,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19538831 ","Som: 1000 W<BR>Cor: Preto  <BR>Acessórios Incluídos: Controle remoto  <BR>Garantia: 2 anos<BR>-","Som:1000 W<br>Cor:Preto <br>Características:Tecnologia Bluetooth<BR>Sintonizador FM<BR>Entrada de áudio SD<BR>USB<BR>Entrada auxiliar<BR>Entrada de microfone<BR>Entrada de guitarra<BR>Indicador LED<BR>Luzes LED<BR>Saída AUX<BR>Rodas <br>Acessórios Incluídos:Controle remoto <br>Garantia:2 anos<br>",,,Sim,
19538832,"COLUNA/APAREL NGS     200W-SKYHOME",385,NGS,5,INFORMÁTICA,590,ACESSÓRIOS,5900597,"ACESSÓRIOS DE SOM                                 ","179,95","169,15","109,43",sim,não,não,não,SKYHOME,"8435430613049 ","7,56","68,328",260,730,360,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19538832 ","Som: 200 W<BR>Cor: Preto  <BR>Acessórios Incluídos: Controle remoto  <BR>Garantia: 2 anos<BR>-","Som:200 W<br>Cor:Preto <br>Características:Ecrã LED<BR>Luzes LED<BR>Sintonizador FM<BR>Função superBass<BR>Controlo de graves<BR>Controlo de agudos<BR>Bluetooth<BR>USB<BR>Entrada auxiliar<BR>Dupla entrada para microfone<BR>Função Karaoke <br>Acessórios Incluídos:Controle remoto <br>Garantia:2 anos<br>",,,Sim,
19538833,"COLUNA/APAREL NGS     120W-WILDJAM",385,NGS,5,INFORMÁTICA,590,ACESSÓRIOS,5900597,"ACESSÓRIOS DE SOM                                 ","129,95","122,15","79,03",sim,não,não,não,WILDJAM,"8435430613391 ","8,06","57,915",585,330,300,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19538833 ","Som: 120 W<BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Som:120 W<br>Cor:Preto <br>Características:Ecrã LED<BR>Sintonizador FM<BR>Bluetooth<BR>Entrada áudio SD<BR>USB<BR>Entrada auxiliar<BR>Entrada de microfone<BR>Autonomia: 4 horas<BR>Luzes LED<BR>Modo de gravação<BR>Modo de equalização<BR>Função MEGA BASS <br>Garantia:2 anos<br>",,,Sim,
19538834,"AUSC+MICR NGS BT   -ARTICAENVYBLUE",385,NGS,5,INFORMÁTICA,590,ACESSÓRIOS,5900597,"ACESSÓRIOS DE SOM                                 ","24,95","24,95","15,68",não,não,não,sim,ARTICAENVYBLUE,"8435430612356 ","0,295","3,28",80,205,200,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19538834 ","Cor: Azul  <BR>Garantia: 2 anos<BR>-","Cor:Azul <br>Características:Bluetooth<BR>Tecnologia A2DP<BR>Mãos livres<BR>Microfone integrado<BR>Micro USB<BR>Cabeça ajustável<BR>Conchas almofadadas<BR>Autonomia: 7 horas <br>Garantia:2 anos<br>",,,Não,
19538835,"AUSC+MICR NGS BT  -ARTICAENVYBLACK",385,NGS,5,INFORMÁTICA,590,ACESSÓRIOS,5900597,"ACESSÓRIOS DE SOM                                 ","24,95","24,95","15,68",não,não,não,sim,ARTICAENVYBLACK,"8435430612318 ","0,29","3,28",80,205,200,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19538835 ","Cor: Preto  <BR>Garantia: 2 anos<BR>-","Cor:Preto <br>Características:Bluetooth<BR>Tecnologia A2DP<BR>Mãos livres<BR>Microfone integrado<BR>Micro USB<BR>Cabeça ajustável<BR>Conchas almofadadas<BR>Autonomia: 7 horas <br>Garantia:2 anos<br>",,,Não,
19538836,"PACK NGS GAMING TEC+RT+AUS-GBX1500",385,NGS,5,INFORMÁTICA,590,ACESSÓRIOS,5900599,"OUTROS ACESSÓRIOS                                 ","49,90","40,42","25,40",sim,não,não,não,GBX1500,"8435430611465 ","1,552","11,495",95,200,605,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19538836 ","Cor: Silver  <BR>Garantia: 2 anos<BR>-","Características:Rato com sensor ótico ajustável para 1000, 1200, 1600 e 2400 DPI<BR>6 botões programáveis<BR>Sistema de iluminação LED<BR>Teclado com 12 teclas multimédia<BR>Suportes para regular a inclinação e alcançar uma posição confortável<BR>Auscultadores estéreo com iluminação azul <br>Cor:Silver <br>Garantia:2 anos<br>",,,Sim,
19538837,"TECLADO NGS S/F.P/SMARTV-TVWARRIOR",385,NGS,5,INFORMÁTICA,590,ACESSÓRIOS,5900591,"TECLADOS                                          ","29,95","29,95","18,83",não,não,não,não,TVWARRIOR,"8435430611380 ","0,441","1,771",35,135,375,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19538837 ","Conectividade: USB  <BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Conectividade:USB <br>Cor:Preto <br>Características:Sem fios: 2,4 GHz<BR>Touchpad<BR>17 teclas multimédia<BR>Perfeito para controlar facilmente o seu computador portátil ligado à TV ou navegar na Internet na sua Smart TV <br>Garantia:2 anos<br>",,,Sim,
19538838,"AUSC+MIC.BT NGS  -ARTICAPATROLWHIT",385,NGS,5,INFORMÁTICA,590,ACESSÓRIOS,5900597,"ACESSÓRIOS DE SOM                                 ","24,95","19,96","12,90",sim,não,não,não,ARTICAPATROLWHI,"8435430612707 ","0,405","2,734",195,165,85,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19538838 ","Compatibilidade: MP3, Telefone, Tablet, PC  <BR>Cor: Branco  <BR>Garantia: 2 anos<BR>-","Compatibilidade:MP3, Telefone, Tablet, PC <br>Cor:Branco <br>Características:Tecnologia A2DP<BR>Cabeça ajustável<BR>Conchas almofadadas<BR>Bluetooth<BR>Microfone<BR>Autonomia: 5 horas<BR>Alcance até 10 metros <br>Garantia:2 anos<br>",,,Sim,
