Referencia,Descrição,CodMarca,NOME_MARCA,Cod.Gama,NOME_GAMA,Cod.Familia,NOME_FAMILIA,SUBFAMILIA,NOME_SUBFAMILIA,PVP_MARCA,PVP_CENTRAL,PR_LIQUIDO,EM_PROMOÇ+O,EXCLUSIVO,OFERTA,FORA_GAMA,PartNr,EAN,Peso(kg),Volume(dm3),Comprimento(mm),Largura(mm),Altura(mm),LinkImagem,Caracteristicas_Resumo,Caracteristicas_Completa,Classe_energetica,Link_Classe_Energetica,Stock,
10401355,"TV TOSHIBA 4x3 28  50HZ STEREO -28N14G",150,TOSHIBA,2,"IMAGEM E SOM",200,TELEVISÃO,2000206,"TV 4x3 DE 28"" STEREO                              ",",00","568,00","390,32",não,não,não,sim,,"5017151604280 ",0,0,0,0,0," ",,,,,Não,
10401815,"PROJECTOR TOSHIBA 16x9-1000LU-TDPMT100",150,TOSHIBA,2,"IMAGEM E SOM",230,"TV´S COMBINADOS",2300235,"PROJECTORES DE VIDEO                              ",",00","2.090,00","1.436,04",não,não,não,sim,,"5017151606826 ",0,"65,712",370,480,370," ",,,,,Não,
10420013,"LEIT.DVD TOSHIBA JPEG-DIVX  -SD1010KE2",150,TOSHIBA,2,"IMAGEM E SOM",240,"DVD /BLURAY /TDT",2400243,"LEITOR DE DVD                                     ",",00","38,90","26,76",não,não,não,sim,SD1010KE2,"5900496523074 ",0,"10,665",395,300,90,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10420013 ","Entradas/Saídas: Vídeo Composto, 2 canais de áudio analógico, Áudio digital coaxial, Scart  <BR>Compatibilidade: CD-R, CD-RW, DVD-R/RW, DVD&#43 R/RW, DVD Video, Jpeg, Divx, (S)VCD, MP3  <BR>Dimensão: 4,3 x 39,5 x 29,6 cm (AxLxP)<BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Entradas/Saídas:Vídeo Composto, 2 canais de áudio analógico, Áudio digital coaxial, Scart <br>Compatibilidade:CD-R, CD-RW, DVD-R/RW, DVD+R/RW, DVD Video, Jpeg, Divx, (S)VCD, MP3 <br>Dimensão:4,3 x 39,5 x 29,6 cm (AxLxP)<br>Cor:Preto <br>Características:Compatível com Dolby Digital, DTS<BR>Zoom<BR>Câmara lenta<BR>OSD <br>Garantia:2 anos<br>",,,Não,
10420014,"LEIT.DVD TOSHIBA HDMI-UPSCA-SD3010KE-2",150,TOSHIBA,2,"IMAGEM E SOM",240,"DVD /BLURAY /TDT",2400243,"LEITOR DE DVD                                     ",",00","44,90","30,59",não,não,não,sim,SD3010KE-2,"5900496523081 ",0,"10,03",400,295,85,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10420014 ","Entradas/Saídas: 2 canais de áudio (analógico)<BR>Áudio Coaxial<BR>Vídeo composto<BR>Scart<BR>HDMI  <BR>Compatibilidade: CD-Audio, Vídeo CD, SVCD, DivX Playback, CD-R, CD-RW, DVD-R, DVD-RW, DVD&#43 R, DVD&#43 RW, DVD Vídeo, MP3, JPEG  <BR>Dimensão: 4,3 x 33 x 20,9 cm (AxLxP)<BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Entradas/Saídas:2 canais de áudio (analógico)<BR>Áudio Coaxial<BR>Vídeo composto<BR>Scart<BR>HDMI <br>Compatibilidade:CD-Audio, Vídeo CD, SVCD, DivX Playback, CD-R, CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD Vídeo, MP3, JPEG <br>Dimensão:4,3 x 33 x 20,9 cm (AxLxP)<br>Cor:Preto <br>Características:1080p Upscaling<BR>OSD<BR>Câmara lenta<BR>Múltiplos zoom<BR>Som surround virtual 3D<BR>Dolby Digital<BR>DTS <br>Garantia:2 anos<br>",,,Não,
10420102,"LEIT.BLURAY TOSHIBA 3D FHD  -BDX3200KE",150,TOSHIBA,2,"IMAGEM E SOM",240,"DVD /BLURAY /TDT",2400249,"LEITOR BLURAY/HDDVD                               ",",00","116,90","82,52",não,não,não,sim,BDX3200KE,"5900496515390 ",0,"14,7",490,300,100,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10420102 ","Compatibilidade: Blu-Ray, Blu-Ray 3D, CD-Audio, Vídeo CD, SVCD, DivX, Xvid, DivX-HD, MKV, AVCHD, CD-R, CD-RW, DVD-R, DVD-RW, DVD&#43 R, DVD&#43 RW, DVD-Vídeo, DVD VR (-R/-RW, &#43 R/&#43 RW), BD-ROM Ver 2.0, BD-R, BD-RE, BD Live, MP3, JPEG e HD JPEG  <BR>Entradas/Saídas: HDMI 1.4<BR>USB<BR>Vídeo composto<BR>REAGZA-Link<BR>Ethernet RJ45<BR>2 cansis de áudio analógico<BR>Áudio coaxial  <BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Compatibilidade:Blu-Ray, Blu-Ray 3D, CD-Audio, Vídeo CD, SVCD, DivX, Xvid, DivX-HD, MKV, AVCHD, CD-R, CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD-Vídeo, DVD VR (-R/-RW, +R/+RW), BD-ROM Ver 2.0, BD-R, BD-RE, BD Live, MP3, JPEG e HD JPEG <br>Entradas/Saídas:HDMI 1.4<BR>USB<BR>Vídeo composto<BR>REAGZA-Link<BR>Ethernet RJ45<BR>2 cansis de áudio analógico<BR>Áudio coaxial <br>Cor:Preto <br>Características:1080p Upscaling<BR>PAL Progressive Scan<BR>Redução digital do ruído<BR>Deep Color<BR>xv Color<BR>OSD<BR>Câmara lenta<BR>Dolby Digital<BR>DTS<BR>Dolby Digital Plus<BR>Dolby True HD<BR>DTS-HD <br>Garantia:2 anos<br>",,,Não,
10420104,"LEIT.BLURAY TOSHIBA HDMI-USB-BDX1250KE",150,TOSHIBA,2,"IMAGEM E SOM",240,"DVD /BLURAY /TDT",2400249,"LEITOR BLURAY/HDDVD                               ",",00","87,90","62,27",não,não,não,sim,BDX1250KE,"5900496517967 ",0,"9,96",415,300,80,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10420104 ","Compatibilidade: CD-Áudio, Vídeo CD, SVCD, Xvid, DivX-HD, MKV, AVCHD, CD-R, CD-RW, DVD-R, DVD-RW, DVD&#43 R, DVD&#43 RW, DVD Vídeo, DVD VR, BD-ROM, BD-R, BD-RE, BD Live 2.0, MP3, JPEG e HD JPEG  <BR>Entradas/Saídas: HDMI 1.4<BR>Saída digital óptica<BR>REAGZA-Link<BR>Ethernet RJ45<BR>USB  <BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Compatibilidade:CD-Áudio, Vídeo CD, SVCD, Xvid, DivX-HD, MKV, AVCHD, CD-R, CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD Vídeo, DVD VR, BD-ROM, BD-R, BD-RE, BD Live 2.0, MP3, JPEG e HD JPEG <br>Entradas/Saídas:HDMI 1.4<BR>Saída digital óptica<BR>REAGZA-Link<BR>Ethernet RJ45<BR>USB <br>Cor:Preto <br>Características:Pal Progressive Scan<BR>Redução digital do ruído<BR>Deep Color<BR>x.v. Color<BR>OSD<BR>Câmara lenta<BR>Dolby Digital<BR>Dolby Digital Plus<BR>Dolby True HD<BR>DTS-HD <br>Garantia:2 anos<br>",,,Não,
10430168,"BOLSA TOSHIBA P/PORT.10   PA3766E-1ETB",380,"TOSHIBA  - INFORMATICA",5,INFORMÁTICA,590,ACESSÓRIOS,5900596,"MALAS                                             ","4,90","3,43","2,37",sim,não,não,não,PA3766E-1ETB,"4026203721029 ","0,31","3,689",340,310,35,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10430168 ","Compatibilidade: Para portáteis até 10,1 polegadas  <BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Compatibilidade:Para portáteis até 10,1 polegadas <br>Cor:Preto <br>Características:Bolsa de transporte para maior protecção do seu portátil <br>Garantia:2 anos<br>",,,Sim,
10430182,"MALA TOSHIBA PORTAT.16    PX1553E-1NCA",380,"TOSHIBA  - INFORMATICA",5,INFORMÁTICA,590,ACESSÓRIOS,5900596,"MALAS                                             ","14,90","11,92","8,24",sim,não,não,não,PX1553E-1NCA,"4026203711969 ","0,731","11,008",320,430,80,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10430182 ","Compatibilidade: Para portáteis até 16 polegadas  <BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Compatibilidade:Para portáteis até 16 polegadas <br>Cor:Preto <br>Características:Proteja o seu portátil graças à sua estrutura reforçada<BR>Compartimento almofadado<BR>Bolso exterior para guardar acessórios<BR>Material em Nylon <br>Garantia:2 anos<br>",,,Sim,
10430261,"CAMARA VIDEO TOSHIBA CAMILEO -P20 AZUL",380,"TOSHIBA  - INFORMATICA",2,"IMAGEM E SOM",250,CÂMARAS,2500256,"VIDEO CARTÃO MEMÓRIA                              ","159,90","159,90","113,61",não,não,não,sim,PX1687E-1CAM,"4026203799615 ",0,"3,24",180,200,90,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10430261 ","Capacidade: 128 MB NAND Flash Memory  <BR>Drive: SD / SDHC / SDXC até 64 GB  <BR>Resolução: 16 Mpx<BR>Zoom Digital: 16 x<BR>Entradas/Saídas: AV Digital HDMI<BR>Leitor de cartões<BR>Mini USB 2.0<BR>TV Out  <BR>Diagonal de Ecrã: 7,6 cm<BR>Peso: 150 gr  <BR>Cor: Azul  <BR>Garantia: 2 anos<BR>-",,,,Não,
10430407,"CAMARA VIDEO TOSHIBA CAMILEO  P100 PRT",380,"TOSHIBA  - INFORMATICA",2,"IMAGEM E SOM",250,CÂMARAS,2500256,"VIDEO CARTÃO MEMÓRIA                              ","219,90","219,90","158,09",não,não,não,sim,PX1765E-1CAM,"4026203881686 ",0,"1,359",85,195,82,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10430407 ","Capacidade: 128 MB NAND Flash Memory  <BR>Drive: SD / SDHC / SDXC até 64 GB  <BR>Resolução: 8 Mpx<BR>Zoom Óptico: 5 x<BR>Zoom Digital: 16 x<BR>Entradas/Saídas: AV Digital HDMI<BR>Leitor de cartões<BR>Mini USB 2.0<BR>TV Out  <BR>Diagonal de Ecrã: 7,6 cm<BR>Autonomia: até 1h 10m  <BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-",,,,Não,
10430607,"CAPA TOSHIBA P/TAB 10,1   PX1847E-1NCA",380,"TOSHIBA  - INFORMATICA",5,INFORMÁTICA,590,ACESSÓRIOS,5900599,"OUTROS ACESSÓRIOS                                 ","4,90","4,90","3,39",não,não,não,sim,PX1847E-1NCA,"4051528070682 ","0,34","1,593",25,205,311,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10430607 ","Compatibilidade: Tablet de 10,1 polegadas  <BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Compatibilidade:Tablet de 10,1 polegadas <br>Características:Capa suporte para Tablet <br>Cor:Preto <br>Garantia:2 anos<br>",,,Não,
10430626,"CAPA+TEC TOSHIBA EXCITE  -PA5132E-1EKP",380,"TOSHIBA  - INFORMATICA",5,INFORMÁTICA,590,ACESSÓRIOS,5900599,"OUTROS ACESSÓRIOS                                 ","14,90","11,32","7,83",sim,não,não,não,PA5132E-1EKP,"4051528070040 ","0,84","5,016",220,380,60,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10430626 ","Compatibilidade: Tablet Excite Pure, Excite Pro ou Excite Write  <BR>Cor: Preto  <BR>Acessórios Incluídos: Cabo para carregar a bateria  <BR>Garantia: 2 anos<BR>-","Compatibilidade:Tablet Excite Pure, Excite Pro ou Excite Write <br>Características:Teclado Bluetooth<BR>Caixa com suporte<BR>Faz com que seja mais fácil escrever com o teclado e protege o tablet durante o transporte<BR>Bateria recarregável<BR>Porta micro-USB 2.0<BR>Botão para ligar o Bluetooth<BR>Interruptor para ligar / desligar <br>Acessórios Incluídos:Cabo para carregar a bateria <br>Cor:Preto <br>Garantia:2 anos<br>",,,Sim,
10430630,"TABLET TOSHIBA EXCIT 10,1   AT10-A-104",380,"TOSHIBA  - INFORMATICA",5,INFORMÁTICA,510,"COMPUTADORES E TABLET'S",5100514,"TABLET'S                                          ","299,00","299,00","232,77",não,não,não,sim,PDA0FE-00902TEP,"4051528104622 ",0,"4,875",50,250,390,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10430630 ","Processador: Nvidia Tegra 3 - 1,3 GHz  <BR>Memória RAM: 1 GB  <BR>Capacidade: 16 GB  <BR>S.O.: Android 4.2  <BR>Som: Estéreo  <BR>Monitor: Ecrã Toshiba AutoBrite WXGA de 10,1 polegadas<BR>Resolução: 1280 x 800  <BR>Conectividade: USB<BR>Microfone externo<BR>Micro-HDMI<BR>Leitor cartões<BR>Bluetooth  <BR>Peso: 600 gr  <BR>Bateria: 10 h reprodução vídeo<BR>50 h reprodução áudio  <BR>Cor: Cinzento escovado  <BR>Garantia: 2 anos<BR>-","Processador:Nvidia Tegra 3 - 1,3 GHz <br>Memória RAM:1 GB <br>Capacidade:16 GB <br>S.O.:Android 4.2 <br>Som:Estéreo <br>Monitor:Ecrã Toshiba AutoBrite WXGA de 10,1 polegadas<BR>Resolução: 1280 x 800 <br>Conectividade:USB<BR>Microfone externo<BR>Micro-HDMI<BR>Leitor cartões<BR>Bluetooth <br>Peso:600 gr <br>Bateria:10 h reprodução vídeo<BR>50 h reprodução áudio <br>Cor:Cinzento escovado <br>Características:Câmara web de 3 MP (posterior) e câmara de 1.2 MP com sensor de luz ambiente (frente)<BR>Microfone estéreo<BR>Colunas melhoradas com DTS Sound<BR>GPS<BR>Sensor de acelaração 3D<BR>Sensor giroscópico<BR>e-Compass <br>Garantia:2 anos<br>",,,Não,
10430665,"BOLSA TOSHIBA P/PORT.11,6 PA1848E-1NCA",380,"TOSHIBA  - INFORMATICA",5,INFORMÁTICA,590,ACESSÓRIOS,5900596,"MALAS                                             ","9,90","7,52","5,20",sim,não,não,não,PA1848E-1NCA,"4051528070699 ","0,39","1,645",235,350,20,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10430665 ","Compatibilidade: Para portáteis até 11,6 polegadas  <BR>Cor: Preto  <BR>Acessórios Incluídos: Pano de limpeza  <BR>Garantia: 2 anos<BR>-","Compatibilidade:Para portáteis até 11,6 polegadas <br>Cor:Preto <br>Características:Uma forma prática e elegante de proteger o seu computador portátil<BR>Material: poliéster <br>Acessórios Incluídos:Pano de limpeza <br>Garantia:2 anos<br>",,,Sim,
10430666,"BOLSA TOSHIBA P/TAB.8  PT PA1865E-1NCA",380,"TOSHIBA  - INFORMATICA",5,INFORMÁTICA,590,ACESSÓRIOS,5900596,"MALAS                                             ","9,90","7,52","5,20",sim,não,não,não,PA1865E-1NCA,"4051528108613 ","0,304","8,676",206,162,260,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10430666 ","Compatibilidade: Para Tablet Encore de 8 polegadas  <BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Compatibilidade:Para Tablet Encore de 8 polegadas <br>Cor:Preto <br>Características:A forma elegante e inteligente para ajudar a proteger o seu tablet Toshiba<BR>Material: jersey / poliéster <br>Garantia:2 anos<br>",,,Sim,
10430667,"BOLSA TOSHIBA P/TAB.8  TQ PA1867E-1NCA",380,"TOSHIBA  - INFORMATICA",5,INFORMÁTICA,590,ACESSÓRIOS,5900596,"MALAS                                             ","9,90","7,52","5,20",sim,não,não,não,PA1867E-1NCA,"4051528108637 ","0,145","1,287",165,260,30,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10430667 ","Compatibilidade: Para Tablet Encore de 8 polegadas  <BR>Cor: Preto / turquesa  <BR>Garantia: 2 anos<BR>-","Compatibilidade:Para Tablet Encore de 8 polegadas <br>Cor:Preto / turquesa <br>Características:A forma elegante e inteligente para ajudar a proteger o seu tablet Toshiba<BR>Material: jersey / poliéster <br>Garantia:2 anos<br>",,,Sim,
