15050315,"ANT METRONI.INT.HD ULTRA SLI.4G-416960",421,METRONIC,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000902,"ACESSÓRIOS                                        ",",00","30,99","21,06",não,não,não,não,416960,"3420744169608 ","0,54","4,536",360,60,210,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=15050315 ","Cor: Preto  <BR>Garantia: 2 anos<BR>-","Cor:Preto <br>Características:Recepção HD<BR>Ajuste de ganho<BR>Banda passante adaptada ao novo largo da banda UHF<BR>Antena super fina<BR>Fixação mediante fita adesiva<BR>Reduz as perturbações associadas ao 4G <br>Garantia:2 anos<br>",,,Não,
15050316,"ADAPT METRONI.M/F&F/F-9,52M.(2)-438109",421,METRONIC,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000902,"ACESSÓRIOS                                        ",",00","1,49",",89",não,não,não,não,438109,"3420744381093 ","0,1","0,972",180,180,30,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=15050316 ","Quantidades: 2  <BR>Cor: Branco / cromado  <BR>Garantia: 2 anos<BR>-","Quantidades:2 <br>Cor:Branco / cromado <br>Características:Adaptador Macho / Fêmea 9,52 mm<BR>Adaptador Fêmea / Fêmea de 9,52 mm <br>Garantia:2 anos<br>",,,Não,
15050317,"ADAPT METRONI.HDMI-F/F         -460070",421,METRONIC,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000902,"ACESSÓRIOS                                        ",",00","7,99","5,45",não,não,não,não,460070,"3420744600705 ","0,02","0,252",30,120,70,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=15050317 ","Cor: Preto  <BR>Garantia: 2 anos<BR>-","Cor:Preto <br>Características:Serve como extensor para ligar 2 cabos HDMI Macho<BR>Compatível com o sinal áudio e vídeo <br>Garantia:2 anos<br>",,,Não,
15050318,"TOMADA METRONI.ENCASTR.TV/FM/SA-417215",421,METRONIC,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000902,"ACESSÓRIOS                                        ",",00","8,99","6,04",não,não,não,não,417215,"3420744172158 ","0,17","1,68",40,280,150,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=15050318 ","Cor: Branco  <BR>Garantia: 2 anos<BR>-","Cor:Branco <br>Características:Tomada de parede para fazer passar um único cabo com uma ficha F blindada (conexão receptor SAT) e ficha macho 9,52 mm (conexão do receptor TDT ou TV) e uma entrada fêmea jack 9,52 mm para rádio FM <br>Garantia:2 anos<br>",,,Não,
15050321,"CABO METRONI.USB 3.0-AB M/M-1,5-495268",421,METRONIC,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000902,"ACESSÓRIOS                                        ",",00","7,99","5,45",não,não,não,sim,495268,"3420744952682 ","0,105","1,12",80,280,50,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=15050321 ","Cor: Azul  <BR>Garantia: 2 anos<BR>-","Cor:Azul <br>Características:USB 3.0<BR>USB A Macho / USB B Macho<BR>Comprimento: 1,5 metros <br>Garantia:2 anos<br>",,,Não,
15050322,"CABO METRONI.USB 3.0-AB M/M-3MT-495269",421,METRONIC,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000902,"ACESSÓRIOS                                        ",",00","9,56","6,51",sim,não,não,não,495269,"3420744952699 ","0,17","1,26",90,280,50,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=15050322 ","Cor: Azul  <BR>Garantia: 2 anos<BR>-","Cor:Azul <br>Características:USB 3.0<BR>USB A Macho / USB B Macho<BR>Comprimento: 3 metros <br>Garantia:2 anos<br>",,,Sim,
15050324,"ADAPT METRONI.RJ45 F/RJ11 M    -495223",421,METRONIC,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000902,"ACESSÓRIOS                                        ",",00","1,99","1,31",não,não,não,sim,495223,"3420744952231 ","0,02","0,273",30,130,70,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=15050324 ","Cor: Branco  <BR>Garantia: 2 anos<BR>-","Cor:Branco <br>Características:Adaptador RJ45 F / RJ11 M <br>Garantia:2 anos<br>",,,Não,
15050329,"ANT METRONI.INT.P/TDT-40DB-PRET-426982",421,METRONIC,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000902,"ACESSÓRIOS                                        ",",00","26,49","17,89",não,não,não,não,426982,"3420744269827 ","0,27","3,024",80,180,210,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=15050329 ","Cor: Preto  <BR>Garantia: 2 anos<BR>-","Cor:Preto <br>Características:Gancho de controlo<BR>Recepção HD<BR>Conectores de 9,52 mm<BR>Ganho: 40 dB<BR> <br>Garantia:2 anos<br>",,,Sim,
15050331,"CABO METRONI.ETHERNET-RJ45-5MT.-495235",421,METRONIC,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000902,"ACESSÓRIOS                                        ",",00","7,49","5,04",não,não,não,não,495235,"3420744952354 ","0,6","1,89",270,100,70,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=15050331 ","Entradas/Saídas: RJ45 Macho / Macho  <BR>Cor: Branco  <BR>Garantia: 2 anos<BR>-","Entradas/Saídas:RJ45 Macho / Macho <br>Cor:Branco <br>Características:Velocidade de transmissão: 10/100 Mbps<BR>Categoria 5<BR>Comprimento: 5 metros <br>Garantia:2 anos<br>",,,Sim,
15050333,"BASE MULTITOMADA METRONI.SCART -703663",421,METRONIC,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000902,"ACESSÓRIOS                                        ",",00","2,99","2,00",não,não,não,sim,703663,"3760157036631 ","0,118","0,126",30,140,30,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=15050333 ","Cor: Preto  <BR>Garantia: 2 anos<BR>-","Cor:Preto <br>Características:3 entradas scart<BR>1 saída 21 pinos com cabo <br>Garantia:2 anos<br>",,,Não,
