34757543,"ENC.MLL AEG 8P.5T.TI.INV-FSE83800P",9,AEG,1,"GRANDES DOMÉSTICOS",150,"ENCASTRE - MAQ.LOUÇA",1500151,"MAQ.LAVAR LOUÇA 60 Cm                             ",",00","1.121,90","752,70",não,não,não,sim,911.437.333,"7332543526291 ",40,"356,004",870,620,660,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=34757543 ","Capacidade: 13 Talheres<BR>Nº de Programas: 8  <BR>Nº de Temperaturas: 5  <BR>Classe Energética: A&#43 &#43 &#43   <BR>Eficiência Secagem: A  <BR>Consumo de Água: 11 Lts<BR>Altura: 81,8 cm<BR>Largura: 59,6 cm<BR>Profundidade: 55 cm<BR>Garantia: 2 anos<BR>-","Capacidade:13 Talheres<br>Nº de Programas:8 <br>Nº de Temperaturas:5 <br>Classe Energética:A+++ <br>Eficiência Secagem:A <br>Consumo de Água:11 Lts<br>Altura:81,8 cm<br>Largura:59,6 cm<br>Profundidade:55 cm<br>Características:Display LCD<BR>Tecnologia ProClean<BR>Função AutoOff<BR>Motor Inverter<BR>Fuzzy Logic: deteção de carga<BR>Time Saver: possibilidade de reduzir a duração de cada programa até 50%<BR>Programas especiais<BR>Funções: Início diferido de 1 a 24 h, Higiene extra e XtraDry<BR>Abertura automática da porta<BR>Cesto superior regulável<BR>Aquasensor<BR>Aqua Control<BR>Segurança contra inundações<BR>TimeBeam: indicação do tempo remanescente no chão<BR>Bitérmica <br>Garantia:2 anos<br>",A+++,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=34757543,Não,
34757544,"ENC.MLL AEG 6P.4T.TI.+++ -FSE63700P",9,AEG,1,"GRANDES DOMÉSTICOS",150,"ENCASTRE - MAQ.LOUÇA",1500151,"MAQ.LAVAR LOUÇA 60 Cm                             ",",00","786,57","523,04",sim,não,não,não,911.434.415,"7332543521197 ",46,"363,674",680,619,864,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=34757544 ","Capacidade: 15 Talheres<BR>Nº de Programas: 6  <BR>Nº de Temperaturas: 4  <BR>Classe Energética: A&#43 &#43 &#43   <BR>Eficiência Secagem: A  <BR>Consumo de Água: 10,2 Lts<BR>Altura: 81,8 cm<BR>Largura: 59,6 cm<BR>Profundidade: 55 cm<BR>Garantia: 2 anos<BR>-","Capacidade:15 Talheres<br>Nº de Programas:6 <br>Nº de Temperaturas:4 <br>Classe Energética:A+++ <br>Eficiência Secagem:A <br>Consumo de Água:10,2 Lts<br>Altura:81,8 cm<br>Largura:59,6 cm<br>Profundidade:55 cm<br>Características:Display 3 dígitos<BR>Tecnologia ProClean<BR>Função AutoOff<BR>Motor Inverter<BR>Fuzzy Logic: deteção de carga<BR>Time Saver: possibilidade de reduzir a duração de cada programa até 50%<BR>Programas especiais<BR>Funções: Início diferido de 1 a 24 h, Higiene extra e XtraDry<BR>Abertura automática da porta<BR>Cesto superior regulável<BR>Aquasensor<BR>Aqua Control<BR>Segurança contra inundações<BR>Beam-on-floor: projeção de luz no chão vermelha e verde<BR>Bitérmica <br>Garantia:2 anos<br>",A+++,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=34757544,Sim,
34757545,"ENC.MLL AEG 5P.4T.TI.+++ -FSE53600Z",9,AEG,1,"GRANDES DOMÉSTICOS",150,"ENCASTRE - MAQ.LOUÇA",1500151,"MAQ.LAVAR LOUÇA 60 Cm                             ",",00","609,74","405,60",sim,não,não,não,911.536.291,"7332543521012 ","42,1","361,398",670,620,870,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=34757545 ","Capacidade: 13 Talheres<BR>Nº de Programas: 5  <BR>Nº de Temperaturas: 4  <BR>Classe Energética: A&#43 &#43 &#43   <BR>Eficiência Secagem: A  <BR>Consumo de Água: 9,9 Lts<BR>Altura: 81,8 cm<BR>Largura: 59,6 cm<BR>Profundidade: 55 cm<BR>Garantia: 2 anos<BR>-","Capacidade:13 Talheres<br>Nº de Programas:5 <br>Nº de Temperaturas:4 <br>Classe Energética:A+++ <br>Eficiência Secagem:A <br>Consumo de Água:9,9 Lts<br>Altura:81,8 cm<br>Largura:59,6 cm<br>Profundidade:55 cm<br>Características:Display 3 dígitos<BR>Tecnologia ProClean<BR>Função AutoOff<BR>Motor Inverter<BR>Fuzzy Logic: deteção de carga<BR>Time Saver: possibilidade de reduzir a duração de cada programa até 50%<BR>Programas especiais<BR>Funções: Início diferido de 1 a 24 h, XtraDry, Time Saver<BR>Abertura automática da porta<BR>Cesto superior regulável<BR>Aquasensor<BR>Aqua Control<BR>Segurança contra inundações<BR>Beam-on-floor: projeção de luz no chão vermelha e verde<BR>Bitérmica <br>Garantia:2 anos<br>",A+++,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=34757545,Sim,
34757546,"ENC.MLL AEG 5P.4T.TI.+++ -FSE53605Z",9,AEG,1,"GRANDES DOMÉSTICOS",150,"ENCASTRE - MAQ.LOUÇA",1500151,"MAQ.LAVAR LOUÇA 60 Cm                             ",",00","611,90","408,12",não,não,não,sim,911.536.297,"7332543536207 ",41,"347,82",850,620,660,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=34757546 ","Capacidade: 13 Talheres<BR>Nº de Programas: 5  <BR>Nº de Temperaturas: 4  <BR>Classe Energética: A&#43 &#43 &#43   <BR>Eficiência Secagem: A  <BR>Consumo de Água: 9,9 Lts<BR>Altura: 81,8 cm<BR>Largura: 59,6 cm<BR>Profundidade: 55 cm<BR>Garantia: 2 anos<BR>-","Capacidade:13 Talheres<br>Nº de Programas:5 <br>Nº de Temperaturas:4 <br>Classe Energética:A+++ <br>Eficiência Secagem:A <br>Consumo de Água:9,9 Lts<br>Altura:81,8 cm<br>Largura:59,6 cm<br>Profundidade:55 cm<br>Características:Display 3 dígitos<BR>Função AutoOff<BR>Motor Inverter<BR>Fuzzy Logic: deteção de carga<BR>Time Saver: possibilidade de reduzir a duração de cada programa até 50%<BR>Programas especiais<BR>Funções: Início diferido de 1 a 24 h e XtraDry<BR>Abertura automática da porta<BR>Cesto superior regulável<BR>Aquasensor<BR>Aqua Control<BR>Segurança contra inundações<BR>Beam-on-floor: projeção de luz no chão vermelha e verde<BR>Bitérmica <br>Garantia:2 anos<br>",A+++,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=34757546,Não,
34757547,"ENC.MLL AEG 5P.3T.TI.INV-FSE52705P",9,AEG,1,"GRANDES DOMÉSTICOS",150,"ENCASTRE - MAQ.LOUÇA",1500151,"MAQ.LAVAR LOUÇA 60 Cm                             ",",00","731,90","490,92",não,não,não,sim,911.436.344,"7332543547487 ","45,1","367,227",870,630,670,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=34757547 ","Capacidade: 15 Talheres<BR>Nº de Programas: 5  <BR>Nº de Temperaturas: 3  <BR>Classe Energética: A&#43 &#43   <BR>Eficiência Secagem: A  <BR>Consumo de Água: 10,2 Lts<BR>Altura: 81,8 cm<BR>Largura: 59,6 cm<BR>Profundidade: 55 cm<BR>Garantia: 2 anos<BR>-","Capacidade:15 Talheres<br>Nº de Programas:5 <br>Nº de Temperaturas:3 <br>Classe Energética:A++ <br>Eficiência Secagem:A <br>Consumo de Água:10,2 Lts<br>Altura:81,8 cm<br>Largura:59,6 cm<br>Profundidade:55 cm<br>Características:Display 3 dígitos<BR>Tecnologia ProClean<BR>Função AutoOff<BR>Motor Inverter<BR>Fuzzy Logic: deteção de carga<BR>Time Saver: possibilidade de reduzir a duração de cada programa até 50%<BR>Programas especiais<BR>Funções: Início diferido de 1 a 24 h, Higiene extra, XtraDry, Time Saver<BR>Abertura automática da porta<BR>Cesto superior regulável<BR>Aquasensor<BR>Aqua Control<BR>Segurança contra inundações<BR>Beam-on-floor: projeção de luz no chão vermelha e verde<BR>Bitérmica <br>Garantia:2 anos<br>",A++,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=34757547,Não,
34757548,"ENC.MLL AEG 5P.4T.TI.A++ -FSB52600Z",9,AEG,1,"GRANDES DOMÉSTICOS",150,"ENCASTRE - MAQ.LOUÇA",1500151,"MAQ.LAVAR LOUÇA 60 Cm                             ",",00","584,96","389,08",sim,não,não,não,911.536.289,"7332543520992 ",37,"378,624",680,640,870,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=34757548 ","Capacidade: 13 Talheres<BR>Nº de Programas: 5  <BR>Nº de Temperaturas: 4  <BR>Classe Energética: A&#43 &#43   <BR>Eficiência Secagem: A  <BR>Consumo de Água: 9,9 Lts<BR>Altura: 81,8 cm<BR>Largura: 59,6 cm<BR>Profundidade: 55 cm<BR>Garantia: 2 anos<BR>-","Capacidade:13 Talheres<br>Nº de Programas:5 <br>Nº de Temperaturas:4 <br>Classe Energética:A++ <br>Eficiência Secagem:A <br>Consumo de Água:9,9 Lts<br>Altura:81,8 cm<br>Largura:59,6 cm<br>Profundidade:55 cm<br>Características:Display LED<BR>Função AutoOff<BR>Motor Inverter<BR>Fuzzy Logic: deteção de carga<BR>Time Saver: possibilidade de reduzir a duração de cada programa até 50%<BR>Programas especiais<BR>Funções: Início diferido de 1 a 24 h, Higiene extra, XtraDry, Time Saver<BR>2 estabilizadores SoftSpikes<BR>Abertura automática da porta<BR>Cesto superior regulável<BR>Aquasensor<BR>Aqua Control<BR>Segurança contra inundações<BR>Beam-on-floor: projeção de luz no chão vermelha e verde<BR>Bitérmica <br>Garantia:2 anos<br>",A++,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=34757548,Sim,
34757549,"ENC.MLL AEG 4P.3T.TI.CA+ -FSB31600Z",9,AEG,1,"GRANDES DOMÉSTICOS",150,"ENCASTRE - MAQ.LOUÇA",1500151,"MAQ.LAVAR LOUÇA 60 Cm                             ",",00","546,90","363,94",não,não,não,sim,911.539.174,"7332543521067 ",37,"370,875",690,625,860,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=34757549 ","Capacidade: 13 Talheres<BR>Nº de Programas: 4  <BR>Nº de Temperaturas: 3  <BR>Classe Energética: A&#43   <BR>Eficiência Secagem: A  <BR>Consumo de Água: 11 Lts<BR>Altura: 81,8 cm<BR>Largura: 59,6 cm<BR>Profundidade: 55 cm<BR>Garantia: 2 anos<BR>-","Capacidade:13 Talheres<br>Nº de Programas:4 <br>Nº de Temperaturas:3 <br>Classe Energética:A+ <br>Eficiência Secagem:A <br>Consumo de Água:11 Lts<br>Altura:81,8 cm<br>Largura:59,6 cm<br>Profundidade:55 cm<br>Características:Display LED<BR>Tecnologia AirDry<BR>Função AutoOff<BR>Fuzzy Logic: deteção de carga<BR>Programas especiais<BR>Funções: Início diferido 3 h<BR>Abertura automática da porta<BR>Cesto superior ajustável<BR>Aquasensor<BR>Aqua Control<BR>Segurança contra inundações<BR>Bitérmica <br>Garantia:2 anos<br>",A+,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=34757549,Não,
34757550,"ENC.MLL AEG 4P.3T.CL.A+ -FEB31600ZM",9,AEG,1,"GRANDES DOMÉSTICOS",150,"ENCASTRE - MAQ.LOUÇA",1500151,"MAQ.LAVAR LOUÇA 60 Cm                             ",",00","565,90","376,61",não,não,não,sim,911.529.188,"7332543520978 ","40,1","364,312",870,625,670,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=34757550 ","Capacidade: 13 Talheres<BR>Nº de Programas: 4  <BR>Nº de Temperaturas: 3  <BR>Classe Energética: A&#43   <BR>Eficiência Secagem: A  <BR>Consumo de Água: 11 Lts<BR>Altura: 81,8 cm<BR>Largura: 59,6 cm<BR>Profundidade: 55 cm<BR>Garantia: 2 anos<BR>-","Capacidade:13 Talheres<br>Nº de Programas:4 <br>Nº de Temperaturas:3 <br>Classe Energética:A+ <br>Eficiência Secagem:A <br>Consumo de Água:11 Lts<br>Altura:81,8 cm<br>Largura:59,6 cm<br>Profundidade:55 cm<br>Características:Display LED<BR>Tecnologia AirDry<BR>Função AutoOff<BR>Fuzzy Logic: deteção de carga<BR>Programas especiais<BR>Funções: Início diferido 3 h<BR>Abertura automática da porta<BR>Cesto superior ajustável<BR>Aquasensor<BR>Aqua Control<BR>Segurança contra inundações<BR>Bitérmica <br>Garantia:2 anos<br>",A+,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=34757550,Não,
34757551,"ENC.COMBI AEG 253LK.+++ -SCE81836TS",9,AEG,1,"GRANDES DOMÉSTICOS",120,"ENCASTRE - FRIO",1200122,"COMBINADOS                                        ",",00","1.615,90","1.090,80",não,não,não,sim,925.501.040,"7332543508518 ",0,0,0,0,0,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=34757551 ","Capacidade: 253 Litros<BR>Capacidade Refrigerador: 192 Litros<BR>Capacidade Congelador: 61 Litros<BR>Consumo: 152 kWh/ano<BR>Classe Energética: A&#43 &#43 &#43   <BR>Capacidade de Congelação: 10 Kg/24h<BR>Autonomia: 21 horas<BR>Tecnologia: No Frost  <BR>Altura: 177,2 cm<BR>Largura: 54 cm<BR>Profundidade: 54,9 cm<BR>Cor: Branco  <BR>Garantia: 2 anos<BR>-","Capacidade:253 Litros<br>Capacidade Refrigerador:192 Litros<br>Capacidade Congelador:61 Litros<br>Consumo:152 kWh/ano<br>Classe Energética:A+++ <br>Capacidade de Congelação:10 Kg/24h<br>Autonomia:21 horas<br>Tecnologia:No Frost <br>Altura:177,2 cm<br>Largura:54 cm<br>Profundidade:54,9 cm<br>Cor:Branco <br>Características:Controlo Touch<BR>Display LCD no interior<BR>Tecnologia profissional TwinTech: No Frost + DynamicAir<BR>Função Férias<BR>Descongelação automática do frigorífico<BR>Função Coolmatic<BR>3 prateleiras vidro + 1 flexível<BR>2 meias gavetas de legumes<BR>Iluminação interior LED<BR>Função Frostmatic<BR>3 prateleiras de vidro no congelador<BR>3 gavetas no congelador<BR>Indicador sonoro e luminoso de porta aberta<BR>Instalação porta calhas deslizantes <br>Garantia:2 anos<br>",A+++,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=34757551,Não,
34757552,"ENC.COMBI AEG 253LK.A++ -SCE81824TS",9,AEG,1,"GRANDES DOMÉSTICOS",120,"ENCASTRE - FRIO",1200122,"COMBINADOS                                        ",",00","1.131,90","753,22",não,não,não,não,925.501.042,"7332543536870 ",59,"636,84",1830,580,600,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=34757552 ","Capacidade: 253 Litros<BR>Capacidade Refrigerador: 192 Litros<BR>Capacidade Congelador: 61 Litros<BR>Consumo: 228 kWh/ano<BR>Classe Energética: A&#43 &#43   <BR>Capacidade de Congelação: 10 Kg/24h<BR>Autonomia: 21 horas<BR>Tecnologia: No Frost  <BR>Altura: 177,2 cm<BR>Largura: 54 cm<BR>Profundidade: 54,9 cm<BR>Cor: Branco  <BR>Garantia: 2 anos<BR>-","Capacidade:253 Litros<br>Capacidade Refrigerador:192 Litros<br>Capacidade Congelador:61 Litros<br>Consumo:228 kWh/ano<br>Classe Energética:A++ <br>Capacidade de Congelação:10 Kg/24h<br>Autonomia:21 horas<br>Tecnologia:No Frost <br>Altura:177,2 cm<br>Largura:54 cm<br>Profundidade:54,9 cm<br>Cor:Branco <br>Características:Controlo Touch<BR>Display LCD no interior<BR>Tecnologia profissional TwinTech: No Frost + DynamicAir<BR>Função Férias<BR>Descongelação automática do frigorífico<BR>3 prateleiras vidro + 1 flexível<BR>2 meias gavetas de legumes<BR>Iluminação interior LED<BR>Função Frostmatic<BR>3 prateleiras de vidro no congelador<BR>3 gavetas no congelador<BR>Indicador sonoro e luminoso de porta aberta<BR>Instalação porta calhas deslizantes <br>Garantia:2 anos<br>",A++,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=34757552,Não,
