49132074,"FRITAD PROFICO.4L.2500W.6PR.IX -FR1088",498,PROFICOOK,3,"PEQUENOS DOMÉSTICOS",310,"APARELHOS DE COZINHA",3100314,"FRITADEIRAS                                       ",",00","149,99","89,03",não,não,não,não,FR1088,"4006160108866 ",0,0,0,0,0,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=49132074 ","Potência: 2500 W<BR>Capacidade: 4 Litros<BR>Cor: Inox  <BR>Garantia: 2 anos<BR>-","Potência:2500 W<br>Capacidade:4 Litros<br>Cor:Inox <br>Características:Visor LCD<BR>Tecnologia Cold-Zone: elemento de aquecimento aplicado diretamente no óleo<BR>6 programas para fritura + temperatura variável + tempo variável<BR>Elemento de aquecimento removível<BR>Tampa com janela de observação<BR>Temporizador de 30 minutos<BR>Cestos facilmente removíveis para limpeza<BR>Filtro permanente para odores e fumos<BR>Proteção contra sobreaquecimento<BR>Base com arrumação do cabo <br>Garantia:2 anos<br>",,,Não,
49132075,"FRITAD PROFICO.2,5L.1500W.S/OL-FR1147H",498,PROFICOOK,3,"PEQUENOS DOMÉSTICOS",310,"APARELHOS DE COZINHA",3100314,"FRITADEIRAS                                       ",",00","119,99","73,99",não,não,não,não,FR1147H,"4006160114706 ",0,0,0,0,0,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=49132075 ","Potência: 1500 W<BR>Capacidade: 2,5 Litros<BR>Cor: Silver / Preto  <BR>Garantia: 2 anos<BR>-","Potência:1500 W<br>Capacidade:2,5 Litros<br>Cor:Silver / Preto <br>Características:7 funções<BR>Termostato ajustável de 80 a 200ºC<BR>Temporizador de 60 minutos <br>Garantia:2 anos<br>",,,Não,
49132076,"FRITAD PROFICO.3,5L.1500W.S/OL-FR1115H",498,PROFICOOK,3,"PEQUENOS DOMÉSTICOS",310,"APARELHOS DE COZINHA",3100314,"FRITADEIRAS                                       ",",00","129,99","84,03",não,não,não,não,FR1115H,"4006160111156 ","6,1","58,5",390,400,375,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=49132076 ","Potência: 1500 W<BR>Capacidade: 3,5 Litros<BR>Cor: Inox  <BR>Garantia: 2 anos<BR>-","Potência:1500 W<br>Capacidade:3,5 Litros<br>Cor:Inox <br>Características:Termostato ajustável (80-200ºC)<BR>Temporizador de 60 minutos<BR>Filtro permanente para odores e fumos<BR>Proteção contra sobreaquecimento<BR>2 luzes indicadores de operação e temperatura<BR>Pega fria<BR>Recipiente removível com um botão de segurança<BR>Recipiente anti aderente <br>Garantia:2 anos<br>",,,Não,
49132077,"SELADOR SACOS PROFICO.12L/MIN. -VK1133",498,PROFICOOK,3,"PEQUENOS DOMÉSTICOS",310,"APARELHOS DE COZINHA",3100320,"MAQUINAS DE COZINHA                               ",",00","109,99","73,99",não,não,não,não,VK1133,"4006160113303 ",0,0,0,0,0,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=49132077 ","Potência: 110 W<BR>Cor: Inox  <BR>Acessórios Incluídos: 10 sacos (5 uni. 22 x 30 &#43  5 uni 28 x 40) &#43  1 rolo (28 x 200 cm)  <BR>Garantia: 2 anos<BR>-","Potência:110 W<br>Cor:Inox <br>Características:Sela e separa numa única operação<BR>Potência de sucção: 12L/min<BR>Função vácuo<BR>Ideal para cozinhar em Sous Vide <br>Acessórios Incluídos:10 sacos (5 uni. 22 x 30 + 5 uni 28 x 40) + 1 rolo (28 x 200 cm) <br>Garantia:2 anos<br>",,,Não,
49132078,"SELADOR SACOS PROFICO.24L/MIN. -VK1134",498,PROFICOOK,3,"PEQUENOS DOMÉSTICOS",310,"APARELHOS DE COZINHA",3100320,"MAQUINAS DE COZINHA                               ",",00","119,99","80,26",não,não,não,não,VK1134,"4006160011340 ",0,0,0,0,0,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=49132078 ","Potência: 120 W<BR>Cor: Inox  <BR>Acessórios Incluídos: 10 sacos (5 uni. 22 x 30 &#43  5 uni 28 x 40) &#43  1 rolo (28 x 200 cm)  <BR>Garantia: 2 anos<BR>-","Potência:120 W<br>Cor:Inox <br>Características:Sela e separa numa única operação<BR>Potência de sucção: 24L/min<BR>8 luzes indicadoras<BR>Adequado para comida temperada ou marinada<BR>Ideal para cozinhar em Sous Vide <br>Acessórios Incluídos:10 sacos (5 uni. 22 x 30 + 5 uni 28 x 40) + 1 rolo (28 x 200 cm) <br>Garantia:2 anos<br>",,,Não,
49132079,"SOUS VIDE PROFICO.8,5L.TEMPORIZ-SV1112",498,PROFICOOK,3,"PEQUENOS DOMÉSTICOS",310,"APARELHOS DE COZINHA",3100320,"MAQUINAS DE COZINHA                               ",",00","139,99","94,05",não,não,não,não,SV1112,"4006160111224 ",0,0,0,0,0,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=49132079 ","Potência: 520 W<BR>Capacidade: 8,5 L  <BR>Cor: Inox  <BR>Garantia: 2 anos<BR>-","Potência:520 W<br>Capacidade:8,5 L <br>Cor:Inox <br>Características:Display LCD<BR>Cozedura precisa com controlo de temperatura eletrónico (desvio máx. +/- 0,5ºC)<BR>Vitaminas, nutrientes e sabores retidos<BR>Função cozedura suave, lenta, preparação de iogurtes e manter temperatura quente<BR>Temperaturas: 45º a 90º<BR>Temporizador de 72 horas <br>Garantia:2 anos<br>",,,Não,
49132080,"M.O PROFICO.20L.800W+GRILL-DIG-MWG1117",498,PROFICOOK,1,"GRANDES DOMÉSTICOS",40,MICROONDAS,400041,"MO - COM GRILL                                    ",",00","169,99","111,73",não,não,não,sim,MWG1117,"4006160111170 ",0,0,0,0,0,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=49132080 ","Capacidade: 20 Litros<BR>Potência: 800 W<BR>Grill: 1000 W<BR>Cor: Inox / Vidro  <BR>Acessórios Incluídos: Prato rotativo: 24,5 cm<BR>Grelha  <BR>Garantia: 2 anos<BR>-","Capacidade:20 Litros<br>Potência:800 W<br>Grill:1000 W<br>Cor:Inox / Vidro <br>Características:Display LED<BR>Relógio digital<BR>11 programas micro-ondas<BR>10 programas automáticos<BR>Programa descongelamento<BR>Função de início rápido<BR>Luz interior<BR>Bloqueio de segurança para crianças<BR>Temporizador de 60 minutos com sinal acústico <br>Acessórios Incluídos:Prato rotativo: 24,5 cm<BR>Grelha <br>Garantia:2 anos<br>",,,Não,
49132081,"M.O PROFICO.23L.900W+GRILL-DIG-MWG1118",498,PROFICOOK,1,"GRANDES DOMÉSTICOS",40,MICROONDAS,400041,"MO - COM GRILL                                    ",",00","199,90","136,54",não,não,não,sim,MWG1118,"4006160111187 ",0,0,0,0,0,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=49132081 ","Capacidade: 23 Litros<BR>Potência: 900 W<BR>Grill: 1950 W<BR>Nº de Potências: 10  <BR>Cor: Inox / Vidro  <BR>Acessórios Incluídos: Prato rotativo: 24,5 cm<BR>Bandeja  <BR>Garantia: 2 anos<BR>-","Capacidade:23 Litros<br>Potência:900 W<br>Grill:1950 W<br>Nº de Potências:10 <br>Cor:Inox / Vidro <br>Características:Display LED<BR>Relógio digital<BR>Potência de Convecção: 1950 W<BR>11 programas micro-ondas<BR>16 programas automáticos<BR>Programa descongelamento<BR>Função de início rápido<BR>Luz interior<BR>Bloqueio de segurança para crianças<BR>Temporizador de 95 minutos com sinal acústico <br>Acessórios Incluídos:Prato rotativo: 24,5 cm<BR>Bandeja <br>Garantia:2 anos<br>",,,Não,
49132082,"AFIADOR FACAS PROFICO.INOX-3NIV-MS1090",498,PROFICOOK,3,"PEQUENOS DOMÉSTICOS",310,"APARELHOS DE COZINHA",3100325,"ABRE-LATAS E FACAS                                ",",00","19,99","12,41",não,não,não,sim,MS1090,"4006160501094 ","0,405","0,798",190,70,60,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=49132082 ","Cor: Inox  <BR>Garantia: 2 anos<BR>-","Cor:Inox <br>Características:3 níveis para diferentes tipos de facas <br>Garantia:2 anos<br>",,,Não,
49132083,"MAQ.BEBIDAS QUENTES PROFICO.IX-HGA1111",498,PROFICOOK,3,"PEQUENOS DOMÉSTICOS",310,"APARELHOS DE COZINHA",3100320,"MAQUINAS DE COZINHA                               ",",00","109,99","73,99",não,não,não,não,HGA1111,"4006160111125 ",0,0,0,0,0,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=49132083 ","Potência: 1500 W<BR>Capacidade: 16 L  <BR>Cor: Inox  <BR>Garantia: 2 anos<BR>-","Potência:1500 W<br>Capacidade:16 L <br>Cor:Inox <br>Características:Controlo eletrónico da temperatura variável<BR>Fundo de panela fechada<BR>Torneira <br>Garantia:2 anos<br>",,,Não,
