35450571,"ENC.FORNO BALAY MF(8)-CINZ-3HB508XCT",362,BALAY,1,"GRANDES DOMÉSTICOS",90,"ENCASTRE - FORNOS",900092,"INDEPENDENTES - ELÉCTRICOS                        ",",00","483,90","335,64",não,não,não,sim,3HB508XCT,"4242006264147 ","28,98","272,288",635,640,670,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=35450571 ","Forno: Multifunções  <BR>Capacidade do Forno: 61 Litros<BR>Nº de Programas: 8  <BR>Sist. de Limpeza: Aqualisis: sistema de limpeza simples, económico e ecológico  <BR>Classe Energética: A  <BR>Potência: 3535 W<BR>Altura: 59,5 cm<BR>Largura: 59,5 cm<BR>Profundidade: 51,5 cm<BR>Cor: Cinzento claro  <BR>Acessórios Incluídos: Grelha combi<BR>Esponja<BR>Assadeira universal  <BR>Garantia: 2 anos<BR>-","Forno:Multifunções <br>Capacidade do Forno:61 Litros<br>Nº de Programas:8 <br>Sist. de Limpeza:Aqualisis: sistema de limpeza simples, económico e ecológico <br>Classe Energética:A <br>Potência:3535 W<br>Altura:59,5 cm<br>Largura:59,5 cm<br>Profundidade:51,5 cm<br>Cor:Cinzento claro <br>Características:Touch Control Confort de utilização fácil com comando central oculto<BR>Auto Chef: 10 receitas programadas<BR>Pré-aquecimento rápido automático<BR>Vario Grill: 3 níveis de potência<BR>Turbina de arrefecimento<BR>Grill rebatível para facilitar a limpeza<BR>Iluminação interior<BR>Esmalte anti-aderente de alta resistência<BR>Parede posterior com Ecoclean<BR>Railes telescópicos Confort Plus: um nível com extração total do raile <br>Acessórios Incluídos:Grelha combi<BR>Esponja<BR>Assadeira universal <br>Garantia:2 anos<br>",A,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=35450571,Não,
35450572,"ENC.FORNO BALAY MF(8)-PRET-3HB508NCT",362,BALAY,1,"GRANDES DOMÉSTICOS",90,"ENCASTRE - FORNOS",900092,"INDEPENDENTES - ELÉCTRICOS                        ",",00","483,90","328,93",não,não,não,sim,3HB508NCT,"4242006264130 ","31,871","267,373",660,632,641,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=35450572 ","Forno: Multifunções  <BR>Capacidade do Forno: 61 Litros<BR>Nº de Programas: 8  <BR>Sist. de Limpeza: Aqualisis: sistema de limpeza simples, económico e ecológico  <BR>Classe Energética: A  <BR>Potência: 3535 W<BR>Altura: 59,5 cm<BR>Largura: 59,5 cm<BR>Profundidade: 51,5 cm<BR>Cor: Preto  <BR>Acessórios Incluídos: Grelha combi<BR>Esponja<BR>Assadeira universal  <BR>Garantia: 2 anos<BR>-","Forno:Multifunções <br>Capacidade do Forno:61 Litros<br>Nº de Programas:8 <br>Sist. de Limpeza:Aqualisis: sistema de limpeza simples, económico e ecológico <br>Classe Energética:A <br>Potência:3535 W<br>Altura:59,5 cm<br>Largura:59,5 cm<br>Profundidade:51,5 cm<br>Cor:Preto <br>Características:Touch Control Confort de utilização fácil com comando central oculto<BR>Auto Chef: 10 receitas programadas<BR>Pré-aquecimento rápido automático<BR>Vario Grill: 3 níveis de potência<BR>Turbina de arrefecimento<BR>Grill rebatível para facilitar a limpeza<BR>Iluminação interior<BR>Esmalte anti-aderente de alta resistência<BR>Parede posterior com Ecoclean<BR>Railes telescópicos Confort Plus: um nível com extração total do raile <br>Acessórios Incluídos:Grelha combi<BR>Esponja<BR>Assadeira universal <br>Garantia:2 anos<br>",A,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=35450572,Não,
35450573,"ENC.FORNO BALAY MF(8)-BRAN-3HB508BCT",362,BALAY,1,"GRANDES DOMÉSTICOS",90,"ENCASTRE - FORNOS",900092,"INDEPENDENTES - ELÉCTRICOS                        ",",00","483,90","335,65",não,não,não,sim,3HB508BCT,"4242006264123 ","28,98","272,288",635,640,670,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=35450573 ","Forno: Multifunções  <BR>Capacidade do Forno: 61 Litros<BR>Nº de Programas: 8  <BR>Sist. de Limpeza: Aqualisis: sistema de limpeza simples, económico e ecológico  <BR>Classe Energética: A  <BR>Potência: 3535 W<BR>Altura: 59,5 cm<BR>Largura: 59,5 cm<BR>Profundidade: 51,5 cm<BR>Cor: Branco  <BR>Acessórios Incluídos: Grelha combi<BR>Esponja<BR>Assadeira universal  <BR>Garantia: 2 anos<BR>-","Forno:Multifunções <br>Capacidade do Forno:61 Litros<br>Nº de Programas:8 <br>Sist. de Limpeza:Aqualisis: sistema de limpeza simples, económico e ecológico <br>Classe Energética:A <br>Potência:3535 W<br>Altura:59,5 cm<br>Largura:59,5 cm<br>Profundidade:51,5 cm<br>Cor:Branco <br>Características:Touch Control Confort de utilização fácil com comando central oculto<BR>Auto Chef: 10 receitas programadas<BR>Pré-aquecimento rápido automático<BR>Vario Grill: 3 níveis de potência<BR>Turbina de arrefecimento<BR>Grill rebatível para facilitar a limpeza<BR>Iluminação interior<BR>Esmalte anti-aderente de alta resistência<BR>Parede posterior com Ecoclean<BR>Railes telescópicos Confort Plus: um nível com extração total do raile <br>Acessórios Incluídos:Grelha combi<BR>Esponja<BR>Assadeira universal <br>Garantia:2 anos<br>",A,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=35450573,Não,
35450574,"SET BALAY P/INST.RECIRCULAÇ.-LZ53250",362,BALAY,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000902,"ACESSÓRIOS                                        ",",00","40,90","27,75",não,não,não,sim,LZ53250,"4242003542460 ","1,26","17,982",270,360,185,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=35450574 ","Características: Set para instalar em recirculação compatível com: 3BC8660, 3BC875P, 3BC865P, 3BC874P, 3BC864P, 3BC892M, 3BC872M, 3BC862M, 3BC891M, 3BC861M, 3BC777P, 3BC767P  <BR>Garantia: 2 anos<BR>-","Características:Set para instalar em recirculação compatível com: 3BC8660, 3BC875P, 3BC865P, 3BC874P, 3BC864P, 3BC892M, 3BC872M, 3BC862M, 3BC891M, 3BC861M, 3BC777P, 3BC767P <br>Garantia:2 anos<br>",,,Não,
35450575,"ENC.MLL BALAY 2x6P.5T.++ -TI-3VF786XA",362,BALAY,1,"GRANDES DOMÉSTICOS",150,"ENCASTRE - MAQ.LOUÇA",1500151,"MAQ.LAVAR LOUÇA 60 Cm                             ",",00","761,90","528,38",não,não,não,sim,3VF786XA,"4242006267131 ","40,39","389,136",670,660,880,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=35450575 ","Capacidade: 14 Talheres<BR>Nº de Programas: 2 x 6  <BR>Nº de Temperaturas: 5  <BR>Classe Energética: A&#43 &#43   <BR>Eficiência Lavagem: A  <BR>Eficiência Secagem: A  <BR>Consumo de Água: Programa ECO 50ºC: 9,5 Lts<BR>Altura: 81,5 cm<BR>Largura: 59,8 cm<BR>Profundidade: 55 cm<BR>Garantia: 2 anos<BR>-","Capacidade:14 Talheres<br>Nº de Programas:2 x 6 <br>Nº de Temperaturas:5 <br>Classe Energética:A++ <br>Eficiência Lavagem:A <br>Eficiência Secagem:A <br>Consumo de Água:Programa ECO 50ºC: 9,5 Lts<br>Altura:81,5 cm<br>Largura:59,8 cm<br>Profundidade:55 cm<br>Características:Display digital: Programação diferida até 24 h, Indicação do tempo restante e Indicação de reposição de sal e abrilhantador<BR>Motor extra silencioso<BR>Funções: Meia carga, +rápido<BR>Programa especial: limpeza da cuba<BR>Sistema de proteção de vidros: Aquamix, Aquavario e Intercambiador de calor<BR>Deteção automática de detergentes Tudo em 1<BR>Cesto superior Rackmatic com 3 alturas<BR>10 anos de garantia da cuba<BR>AquaStop <br>Garantia:2 anos<br>",A++,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=35450575,Não,
35450576,"ENC.MLL BALAY 5P.4T.CA++ -TI-3VF704XA",362,BALAY,1,"GRANDES DOMÉSTICOS",150,"ENCASTRE - MAQ.LOUÇA",1500151,"MAQ.LAVAR LOUÇA 60 Cm                             ",",00","628,90","435,92",não,não,não,sim,3VF704XA,"4242006267124 ","38,4","368,918",858,637,675,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=35450576 ","Capacidade: 13 Talheres<BR>Nº de Programas: 5  <BR>Nº de Temperaturas: 4  <BR>Classe Energética: A&#43 &#43   <BR>Eficiência Lavagem: A  <BR>Eficiência Secagem: A  <BR>Consumo de Água: Programa ECO 50ºC: 9,5 Lts<BR>Altura: 81,5 cm<BR>Largura: 59,8 cm<BR>Profundidade: 55 cm<BR>Garantia: 2 anos<BR>-","Capacidade:13 Talheres<br>Nº de Programas:5 <br>Nº de Temperaturas:4 <br>Classe Energética:A++ <br>Eficiência Lavagem:A <br>Eficiência Secagem:A <br>Consumo de Água:Programa ECO 50ºC: 9,5 Lts<br>Altura:81,5 cm<br>Largura:59,8 cm<br>Profundidade:55 cm<br>Características:Display digital<BR>Programação diferida até 24 h<BR>Indicação de tempo restante<BR>Indicação de reposição de sal e abrilhantador<BR>Sistema de proteção de vidros: Aquamix, Aquavario e Intercambiador de calor<BR>Deteção automática de detergentes Tudo em 1<BR>Cesto superior regulável em altura<BR>10 anos de garantia da cuba<BR>AquaStop com garantia vitalícia<BR>Possibilidade de conexão água fria ou quente <br>Garantia:2 anos<br>",A++,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=35450576,Não,
35450577,"ENC.MLL BALAY 2x3P.4T.45C.A-3VT304NA",362,BALAY,1,"GRANDES DOMÉSTICOS",150,"ENCASTRE - MAQ.LOUÇA",1500152,"MAQ.LAVAR LOUÇA 45 Cm                             ",",00","464,54","312,63",sim,não,não,não,3VT304NA,"4242006267179 ","30,5","297,279",870,670,510,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=35450577 ","Capacidade: 9 Talheres<BR>Nº de Programas: 2 x 3  <BR>Nº de Temperaturas: 4  <BR>Classe Energética: A&#43   <BR>Classe Energética: A&#43   <BR>Eficiência Lavagem: A  <BR>Eficiência Secagem: A  <BR>Consumo de Água: Programa ECO 50ºC: 11,5 Lts<BR>Altura: 81,5 / 87,5 cm<BR>Largura: 44,8 cm<BR>Profundidade: 55 cm<BR>Cor: Painel preto  <BR>Garantia: 2 anos<BR>-","Capacidade:9 Talheres<br>Nº de Programas:2 x 3 <br>Nº de Temperaturas:4 <br>Classe Energética:A+ <br>Classe Energética:A+ <br>Eficiência Lavagem:A <br>Eficiência Secagem:A <br>Consumo de Água:Programa ECO 50ºC: 11,5 Lts<br>Altura:81,5 / 87,5 cm<br>Largura:44,8 cm<br>Profundidade:55 cm<br>Cor:Painel preto <br>Características:Indicadores luminosos: fase do programa de lavagem, reposição de sal e abrilhantador<BR>Função especial meia carga<BR>Sistema de proteção de vidro: Aquamix, Aquavario e Intercambiador de calor<BR>Deteção automática de detergentes Tudo em 1<BR>10 anos de garantia da cuba<BR>Sistema antifugas Aquasafe<BR>Possibilidade de conexão a água fria ou quente<BR>Motor extrasilêncio <br>Garantia:2 anos<br>",A+,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=35450577,Sim,
35450578,"ENC.C.V BALAY 235L.NF.7G.++ -3GI7047F",362,BALAY,1,"GRANDES DOMÉSTICOS",120,"ENCASTRE - FRIO",1200121,"CONGELADORES VERTICAIS                            ",",00","988,70","665,26",sim,não,não,não,3GI7047F,"4242006256722 ",73,"714,24",1860,600,640,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=35450578 ","Capacidade Congelador: 235 Litros<BR>Classe Energética: A&#43 &#43   <BR>Consumo: 243 kWh/ano<BR>Capacidade de Congelação: 20 Kg/24h<BR>Tecnologia: No Frost  <BR>Autonomia: 22 horas<BR>Altura: 177,2 cm<BR>Largura: 55,8 cm<BR>Profundidade: 54,5 cm<BR>Cor: Branco  <BR>Garantia: 2 anos<BR>-","Capacidade Congelador:235 Litros<br>Classe Energética:A++ <br>Consumo:243 kWh/ano<br>Capacidade de Congelação:20 Kg/24h<br>Tecnologia:No Frost <br>Autonomia:22 horas<br>Altura:177,2 cm<br>Largura:55,8 cm<br>Profundidade:54,5 cm<br>Cor:Branco <br>Características:Controlo eletrónico<BR>Display digital Touch Control no interior<BR>Sistema inteligente de controlo e estabilidade da temperatura<BR>5 gavetas e 2 compartimentos com tampa abatível<BR>2 gavetas de grande capacidade Big Box<BR>Prateleiras de vidro de segurança<BR>Super congelação com desconexão automática<BR>Equipamento interior com perfis cromados<BR>Alarme acústico de porta aberta<BR>Sistema de porta fixa<BR>Porta reversível <br>Garantia:2 anos<br>",A++,http://services.sorefoz.pt/redes/mostraretiqenerg.aspx?fich=35450578,Sim,
35450579,"ENC.MESA BALAY VC.5Z.INDUÇ.-3EB997LT",362,BALAY,1,"GRANDES DOMÉSTICOS",70,"ENCASTRE - MESAS",700073,"DE INDUÇÃO                                        ",",00","1.028,06","691,69",sim,não,não,não,3EB997LT,"4242006251086 ","18,9","85,644",130,1080,610,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=35450579 ","Tipo de Mesa: Indução  <BR>Queimadores/Zonas: 5 Z  <BR>Potência: 11100 W<BR>Comandos: Frontais  <BR>Altura: 5,1 cm<BR>Largura: 91,8 cm<BR>Profundidade: 52,2 cm<BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Tipo de Mesa:Indução <br>Queimadores/Zonas:5 Z <br>Potência:11100 W<br>Comandos:Frontais <br>Altura:5,1 cm<br>Largura:91,8 cm<br>Profundidade:52,2 cm<br>Cor:Preto <br>Características:Controlo deslizante com 17 níveis de potência<BR>Zonas com função Boost e Turbo<BR>Função Início automático<BR>Função Memória<BR>Função de programação de tempo de confeção para cada zona<BR>Controlo da temperatura do óleo com 5 níveis de temperatura<BR>Função de alarme com duração de aviso regulável<BR>Função silêncio<BR>Indicador de 2 níveis de calor residual para cada zona de confeção<BR>Função de segurança para crianças<BR>Desligar de segurança automático da placa<BR>Biselado <br>Garantia:2 anos<br>",,,Sim,
35450580,"ENC.MESA BALAY VC.4Z.INDUÇ.-3EB985LT",362,BALAY,1,"GRANDES DOMÉSTICOS",70,"ENCASTRE - MESAS",700073,"DE INDUÇÃO                                        ",",00","834,90","559,83",não,não,não,sim,3EB985LT,"4242006251079 ",17,"74,1",130,600,950,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=35450580 ","Tipo de Mesa: Indução  <BR>Queimadores/Zonas: 4 Z  <BR>Potência: 7400 W<BR>Comandos: Frontais  <BR>Altura: 5,1 cm<BR>Largura: 80,2 cm<BR>Profundidade: 52,2 cm<BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Tipo de Mesa:Indução <br>Queimadores/Zonas:4 Z <br>Potência:7400 W<br>Comandos:Frontais <br>Altura:5,1 cm<br>Largura:80,2 cm<br>Profundidade:52,2 cm<br>Cor:Preto <br>Características:Controlo deslizante com 17 níveis de potência<BR>Função Boost para cada zona de confeção e função Turbo<BR>Controlo da temperatura do óleo com 5 níveis de temperatura<BR>Função Início automático<BR>Função Memória<BR>Função manter quente<BR>Função de programação de tempo e confeção para cada zona<BR>Função de alarme com duração de aviso regulável<BR>Função Silêncio<BR>Indicador de 2 níveis de calor residual<BR>Função de segurança para crianças<BR>Função limpeza<BR>Biselado <br>Garantia:2 anos<br>",,,Não,
