25605048,"PILHA VARTA ELECT/FOT.CR2-(1)  -6206",363,VARTA,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000901,"BATERIAS                                          ",",00","4,99","2,68",não,não,não,não,6206,"4008496537365 ","0,295","0,981",95,126,82,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=25605048 ","Formato: CR2  <BR>Quantidades: Blister 1  <BR>-","Formato:CR2 <br>Quantidades:Blister 1 <br>Características:Pilha Electronica & Photo <br>",,,Sim,
25605050,"PILHA VARTA REL.SR67/SR716SW-(1)-315",363,VARTA,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000901,"BATERIAS                                          ",",00","1,99",",96",não,não,não,não,315,"4008496245550 ","0,003","0,04",25,65,25,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=25605050 ","Formato: SR67/SR716SW  <BR>Quantidades: Blister 1  <BR>-","Formato:SR67/SR716SW <br>Quantidades:Blister 1 <br>Características:Pilha para relojoaria <br>",,,Não,
25605051,"PILHA VARTA REL.SR62/SR516SW-(1)-317",363,VARTA,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000901,"BATERIAS                                          ",",00","1,99",",96",não,não,não,não,317,"4008496245611 ","0,003","0,04",25,65,25,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=25605051 ","Formato: SR62/SR516SW  <BR>Quantidades: Blister 1  <BR>-","Formato:SR62/SR516SW <br>Quantidades:Blister 1 <br>Características:Pilha para relojoaria <br>",,,Não,
25605052,"PILHA VARTA REL.SR64/SR527SW-(1)-319",363,VARTA,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000901,"BATERIAS                                          ",",00","1,99","1,06",não,não,não,não,319,"4008496245628 ","0,003","0,04",25,65,25,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=25605052 ","Formato: SR64/SR527SW  <BR>Quantidades: Blister 1  <BR>-","Formato:SR64/SR527SW <br>Quantidades:Blister 1 <br>Características:Pilha para relojoaria <br>",,,Não,
25605053,"PILHA VARTA REL.SR65/SR616SW-(1)-321",363,VARTA,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000901,"BATERIAS                                          ",",00","1,91",",92",sim,não,não,não,321,"4008496245857 ","0,04","2,4",200,100,120,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=25605053 ","Formato: SR65/SR616SW  <BR>Quantidades: Blister 1  <BR>-","Formato:SR65/SR616SW <br>Quantidades:Blister 1 <br>Características:Pilha para relojoaria <br>",,,Sim,
25605054,"PILHA VARTA REL.SR44/SR44W-(1)  -357",363,VARTA,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000901,"BATERIAS                                          ",",00","1,99",",96",não,não,não,não,357,"4008496245710 ","0,025","0,041",62,25,27,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=25605054 ","Formato: SR44/SR44W  <BR>Quantidades: Blister 1  <BR>-","Formato:SR44/SR44W <br>Quantidades:Blister 1 <br>Características:Pilha para relojoaria <br>",,,Não,
25605055,"PILHA VARTA REL.SR58/SR721SW-(1)-362",363,VARTA,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000901,"BATERIAS                                          ",",00",",99",",47",não,não,não,não,362,"4008496245727 ","0,003","0,04",25,65,25,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=25605055 ","Formato: SR58/SR721SW  <BR>Quantidades: Blister 1  <BR>-","Formato:SR58/SR721SW <br>Quantidades:Blister 1 <br>Características:Pilha para relojoaria <br>",,,Não,
25605056,"PILHA VARTA REL.SR60/SR621SW-(1)-364",363,VARTA,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000901,"BATERIAS                                          ",",00",",99",",42",não,não,não,não,364,"4008496245734 ","0,008","0,02",20,20,50,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=25605056 ","Formato: SR60/SR621SW  <BR>Quantidades: Blister 1  <BR>-","Formato:SR60/SR621SW <br>Quantidades:Blister 1 <br>Características:Pilha para relojoaria <br>",,,Não,
25605057,"PILHA VARTA REL.SR69/SR920SW-(1)-371",363,VARTA,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000901,"BATERIAS                                          ",",00",",96",",46",sim,não,não,não,371,"4008496245918 ","0,1","0,063",20,60,25,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=25605057 ","Formato: SR69/SR920SW  <BR>Quantidades: Blister 1  <BR>-","Formato:SR69/SR920SW <br>Quantidades:Blister 1 <br>Características:Pilha para relojoaria <br>",,,Sim,
25605058,"PILHA VARTA REL.SR68/SR916SW-(1)-373",363,VARTA,9,"ACESSÓRIOS E BATERIAS",900,"ACESSÓRIOS E BATERIAS",9000901,"BATERIAS                                          ",",00","1,99",",96",não,não,não,não,373,"4008496245925 ","0,1","0,02",20,50,20,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=25605058 ","Formato: SR68/SR916SW  <BR>Quantidades: Blister 1  <BR>-","Formato:SR68/SR916SW <br>Quantidades:Blister 1 <br>Características:Pilha para relojoaria <br>",,,Não,
