19637536,"COMP.PORT ASUS 14 -UX430UA-58AHDCB1",448,ASUS,5,INFORMÁTICA,510,"COMPUTADORES E TABLET'S",5100512,"PORTÁTEIS                                         ","999,99","999,99","757,11",não,não,não,sim,UX430UA-58AHDCB,"4712900876710 ","2,245","9,114",70,465,280,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19637536 ","Processador: Intel Core i5-8250U - 1,60 GHz  <BR>Memória RAM: 8 GB  <BR>Capacidade: SSD 256 GB  <BR>Placa Gráfica: Intel HD Graphics 620  <BR>S.O.: Windows 10  <BR>Monitor: Ecrã FHD de 14 polegadas<BR>Resolução: 1920 x 1080  <BR>Conectividade: USB 2.0<BR>USB 3.0<BR>USB 3.1<BR>Wi-Fi<BR>Bluetooth<BR>Micro-HDMI  <BR>Cor: Silver  <BR>Garantia: 2 anos<BR>-","Processador:Intel Core i5-8250U - 1,60 GHz <br>Memória RAM:8 GB <br>Capacidade:SSD 256 GB <br>Placa Gráfica:Intel HD Graphics 620 <br>S.O.:Windows 10 <br>Monitor:Ecrã FHD de 14 polegadas<BR>Resolução: 1920 x 1080 <br>Conectividade:USB 2.0<BR>USB 3.0<BR>USB 3.1<BR>Wi-Fi<BR>Bluetooth<BR>Micro-HDMI <br>Cor:Silver <br>Garantia:2 anos<br>",,,Não,
19637537,"COMP.PORT ASUS 14 -UX430UA-78DHDCB1",448,ASUS,5,INFORMÁTICA,510,"COMPUTADORES E TABLET'S",5100512,"PORTÁTEIS                                         ","1.399,99","1.399,99","1.060,58",não,não,não,sim,UX430UA-78DHDCB,"4712900935752 ","2,295","9,212",280,470,70,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19637537 ","Processador: Intel Core i7-8550U - 1,80 GHz  <BR>Memória RAM: 16 GB  <BR>Capacidade: SSD 512 GB  <BR>Placa Gráfica: Intel HD Graphics 620  <BR>S.O.: Windows 10  <BR>Monitor: Ecrã FHD de 14 polegadas<BR>Resolução: 1920 x 1080  <BR>Conectividade: USB 2.0<BR>USB 3.0<BR>USB 3.1<BR>Wi-Fi<BR>Bluetooth  <BR>Peso: 1,30 Kg  <BR>Bateria: Até 50 horas  <BR>Cor: Silver  <BR>Garantia: 2 anos<BR>-","Processador:Intel Core i7-8550U - 1,80 GHz <br>Memória RAM:16 GB <br>Capacidade:SSD 512 GB <br>Placa Gráfica:Intel HD Graphics 620 <br>S.O.:Windows 10 <br>Monitor:Ecrã FHD de 14 polegadas<BR>Resolução: 1920 x 1080 <br>Conectividade:USB 2.0<BR>USB 3.0<BR>USB 3.1<BR>Wi-Fi<BR>Bluetooth <br>Peso:1,30 Kg <br>Bateria:Até 50 horas <br>Cor:Silver <br>Características:Câmara Web <br>Garantia:2 anos<br>",,,Não,
19637538,"COMP.PORT ASUS 15 -FX503VD-57A05PB1",448,ASUS,5,INFORMÁTICA,510,"COMPUTADORES E TABLET'S",5100512,"PORTÁTEIS                                         ","999,99","999,99","760,09",não,não,não,sim,FX503VD-57A05PB,"4712900935929 ","3,985","14,3",325,440,100,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19637538 ","Processador: Intel Core i5-7300HQ - 2,5 GHz  <BR>Memória RAM: 8 GB  <BR>Capacidade: 1 TB  <BR>Placa Gráfica: Nvidia GeForce GTX 1050  <BR>S.O.: Windows 10  <BR>Monitor: Ecrã FHD de 15,6 polegadas<BR>Resolução: 1920 x 1080  <BR>Conectividade: 3 x USB 3.0<BR>RJ-45<BR>HDMI<BR>Wi-Fi<BR>Bluetooth  <BR>Peso: 2,50 Kg  <BR>Bateria: 64 horas  <BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Processador:Intel Core i5-7300HQ - 2,5 GHz <br>Memória RAM:8 GB <br>Capacidade:1 TB <br>Placa Gráfica:Nvidia GeForce GTX 1050 <br>S.O.:Windows 10 <br>Monitor:Ecrã FHD de 15,6 polegadas<BR>Resolução: 1920 x 1080 <br>Conectividade:3 x USB 3.0<BR>RJ-45<BR>HDMI<BR>Wi-Fi<BR>Bluetooth <br>Peso:2,50 Kg <br>Bateria:64 horas <br>Cor:Preto <br>Características:Câmara Web <br>Garantia:2 anos<br>",,,Não,
19637539,"COMP.PORT ASUS 15 -FX503VD-77A05PB1",448,ASUS,5,INFORMÁTICA,510,"COMPUTADORES E TABLET'S",5100512,"PORTÁTEIS                                         ","1.199,99","1.199,99","911,31",não,não,não,sim,FX503VD-77A05PB,"4712900935936 ","3,985","14,3",325,440,100,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19637539 ","Processador: Intel Core i7-7700HQ -3,8 GHz  <BR>Memória RAM: 8 GB  <BR>Capacidade: 1 TB  <BR>Placa Gráfica: Nvidia GeForce GTX 1050  <BR>S.O.: Windows 10  <BR>Monitor: Ecrã FHD de 15,6 polegadas<BR>Resolução: 1920 x 1080  <BR>Conectividade: 3 x USB 3.0<BR>RJ-45<BR>HDMI<BR>Wi-Fi<BR>Bluetooth  <BR>Peso: 2,50 Kg  <BR>Bateria: 64 horas  <BR>Cor: Preto  <BR>Garantia: 2 anos<BR>-","Processador:Intel Core i7-7700HQ -3,8 GHz <br>Memória RAM:8 GB <br>Capacidade:1 TB <br>Placa Gráfica:Nvidia GeForce GTX 1050 <br>S.O.:Windows 10 <br>Monitor:Ecrã FHD de 15,6 polegadas<BR>Resolução: 1920 x 1080 <br>Conectividade:3 x USB 3.0<BR>RJ-45<BR>HDMI<BR>Wi-Fi<BR>Bluetooth <br>Peso:2,50 Kg <br>Bateria:64 horas <br>Cor:Preto <br>Características:Câmara Web <br>Garantia:2 anos<br>",,,Não,
19637540,"COMP.PORT ASUS 15  -A542UR-78A93CB1",448,ASUS,5,INFORMÁTICA,510,"COMPUTADORES E TABLET'S",5100512,"PORTÁTEIS                                         ","899,99","899,99","684,48",não,não,não,sim,A542UR-78A93CB1,"              ","2,79","10,85",310,500,70,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19637540 ","Processador: Intel Core i7-8550U - 1,80 GHz  <BR>Memória RAM: 8 GB  <BR>Capacidade: 1 TB  <BR>Placa Gráfica: Nvidia GeForce 930MX  <BR>S.O.: Windows 10  <BR>Monitor: Ecrã FHD de 15,6 polegadas<BR>Resolução: 1920 x 1080  <BR>Conectividade: USB 2.0<BR>2 x USB 3.0<BR>USB 3.1<BR>Wi-Fi<BR>Bluetooth  <BR>Peso: 2,30 Kg  <BR>Bateria: Até 38 horas  <BR>Cor: Matt Silver IMR  <BR>Garantia: 2 anos<BR>-","Processador:Intel Core i7-8550U - 1,80 GHz <br>Memória RAM:8 GB <br>Capacidade:1 TB <br>Placa Gráfica:Nvidia GeForce 930MX <br>S.O.:Windows 10 <br>Monitor:Ecrã FHD de 15,6 polegadas<BR>Resolução: 1920 x 1080 <br>Conectividade:USB 2.0<BR>2 x USB 3.0<BR>USB 3.1<BR>Wi-Fi<BR>Bluetooth <br>Peso:2,30 Kg <br>Bateria:Até 38 horas <br>Cor:Matt Silver IMR <br>Características:Câmara Web <br>Garantia:2 anos<br>",,,Não,
19637541,"COMP.PORT ASUS 15  -F505BA-A6AR4CB1",448,ASUS,5,INFORMÁTICA,510,"COMPUTADORES E TABLET'S",5100512,"PORTÁTEIS                                         ","449,99","449,99","355,21",não,não,não,sim,F505BA-A6AR4CB1,"4712900935844 ","2,465","9,683",295,505,65,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19637541 ","Processador: AMD Dual Core A6-9220 - 2,50 GHz  <BR>Memória RAM: 4 GB  <BR>Capacidade: 1 TB  <BR>Placa Gráfica: AMD Radeon R4  <BR>S.O.: Windows 10  <BR>Monitor: Ecrã HD de 15,6 polegadas<BR>Resolução: 1366 x 768  <BR>Conectividade: 2 x USB 2.0<BR>USB 3.0<BR>USB 3.1<BR>Wi-Fi<BR>Bluetooth  <BR>Peso: 1,68 Kg  <BR>Bateria: Até 42 horas  <BR>Cor: Matt Silver IMR  <BR>Garantia: 2 anos<BR>-","Processador:AMD Dual Core A6-9220 - 2,50 GHz <br>Memória RAM:4 GB <br>Capacidade:1 TB <br>Placa Gráfica:AMD Radeon R4 <br>S.O.:Windows 10 <br>Monitor:Ecrã HD de 15,6 polegadas<BR>Resolução: 1366 x 768 <br>Conectividade:2 x USB 2.0<BR>USB 3.0<BR>USB 3.1<BR>Wi-Fi<BR>Bluetooth <br>Peso:1,68 Kg <br>Bateria:Até 42 horas <br>Cor:Matt Silver IMR <br>Características:Câmara Web <br>Garantia:2 anos<br>",,,Não,
19637542,"COMP.PORT ASUS 15  -F505BA-A9AR5BB1",448,ASUS,5,INFORMÁTICA,510,"COMPUTADORES E TABLET'S",5100512,"PORTÁTEIS                                         ","554,99","554,99","433,26",não,não,não,sim,F505BA-A9AR5BB1,"4712900935899 ","2,465","9,683",295,505,65,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19637542 ","Processador: AMD Dual Core A9-9420 - 3,00 GHz  <BR>Memória RAM: 8 GB  <BR>Capacidade: 1 TB  <BR>Placa Gráfica: AMD Radeon R5  <BR>S.O.: Windows 10  <BR>Monitor: Ecrã HD de 15,6 polegadas<BR>Resolução: 1366 x 768  <BR>Conectividade: 2 x USB 2.0<BR>USB 3.0<BR>USB 3.1<BR>Wi-Fi<BR>Bluetooth  <BR>Peso: 1,68 Kg  <BR>Bateria: Até 42 horas  <BR>Cor: Pearl White  <BR>Garantia: 2 anos<BR>-","Processador:AMD Dual Core A9-9420 - 3,00 GHz <br>Memória RAM:8 GB <br>Capacidade:1 TB <br>Placa Gráfica:AMD Radeon R5 <br>S.O.:Windows 10 <br>Monitor:Ecrã HD de 15,6 polegadas<BR>Resolução: 1366 x 768 <br>Conectividade:2 x USB 2.0<BR>USB 3.0<BR>USB 3.1<BR>Wi-Fi<BR>Bluetooth <br>Peso:1,68 Kg <br>Bateria:Até 42 horas <br>Cor:Pearl White <br>Características:Câmara Web <br>Garantia:2 anos<br>",,,Não,
19637543,"COMP.PORT ASUS 15  -F505BA-A9AR5CB1",448,ASUS,5,INFORMÁTICA,510,"COMPUTADORES E TABLET'S",5100512,"PORTÁTEIS                                         ","549,99","549,99","433,26",não,não,não,sim,F505BA-A9AR5CB1,"4712900935851 ","2,465","9,683",295,505,65,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19637543 ","Processador: AMD Dual Core A9-9420 - 3,00 GHz  <BR>Memória RAM: 8 GB  <BR>Capacidade: 1 TB  <BR>Placa Gráfica: AMD Radeon R5  <BR>S.O.: Windows 10  <BR>Monitor: Ecrã HD de 15,6 polegadas<BR>Resolução: 1366 x 768  <BR>Conectividade: 2 x USB 2.0<BR>USB 3.0<BR>USB 3.1<BR>Wi-Fi<BR>Bluetooth  <BR>Peso: 1,68 Kg  <BR>Bateria: Até 42 horas  <BR>Cor: Matt Dark Grey  <BR>Garantia: 2 anos<BR>-","Processador:AMD Dual Core A9-9420 - 3,00 GHz <br>Memória RAM:8 GB <br>Capacidade:1 TB <br>Placa Gráfica:AMD Radeon R5 <br>S.O.:Windows 10 <br>Monitor:Ecrã HD de 15,6 polegadas<BR>Resolução: 1366 x 768 <br>Conectividade:2 x USB 2.0<BR>USB 3.0<BR>USB 3.1<BR>Wi-Fi<BR>Bluetooth <br>Peso:1,68 Kg <br>Bateria:Até 42 horas <br>Cor:Matt Dark Grey <br>Características:Câmara Web <br>Garantia:2 anos<br>",,,Não,
19637544,"COMP.PORT ASUS 10 -T103HAF-X5DHDCB1",448,ASUS,5,INFORMÁTICA,510,"COMPUTADORES E TABLET'S",5100512,"PORTÁTEIS                                         ","399,00","399,00","311,67",não,não,não,sim,T103HAF-X5DHDCB,"4712900876758 ","1,5","4,192",215,300,65,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19637544 ","Processador: Intel Quad Core Atom X5-Z8350 - 1,92 GHz  <BR>Memória RAM: 4 GB  <BR>Capacidade: SSD 64 GB  <BR>Placa Gráfica: Intel HD 400  <BR>S.O.: Windows 10  <BR>Monitor: Ecrã HD tátil de 10,1 polegadas<BR>Resolução: 1280 x 800  <BR>Conectividade: Micro USB 2.0<BR>USB 3.0<BR>Auscultadores<BR>Wi-Fi<BR>Bluetooth  <BR>Peso: 0,860  Kg  <BR>Bateria: Até 32 horas  <BR>Cor: Silver  <BR>Garantia: 2 anos<BR>-","Processador:Intel Quad Core Atom X5-Z8350 - 1,92 GHz <br>Memória RAM:4 GB <br>Capacidade:SSD 64 GB <br>Placa Gráfica:Intel HD 400 <br>S.O.:Windows 10 <br>Monitor:Ecrã HD tátil de 10,1 polegadas<BR>Resolução: 1280 x 800 <br>Conectividade:Micro USB 2.0<BR>USB 3.0<BR>Auscultadores<BR>Wi-Fi<BR>Bluetooth <br>Peso:0,860  Kg <br>Bateria:Até 32 horas <br>Cor:Silver <br>Características:Câmara Web <br>Garantia:2 anos<br>",,,Não,
19637545,"COMP.PORT ASUS 15  -F540NA-C3AHDPB1",448,ASUS,5,INFORMÁTICA,510,"COMPUTADORES E TABLET'S",5100512,"PORTÁTEIS                                         ","399,99","399,99","316,19",não,não,não,sim,F540NA-C3AHDPB1,"4712900935905 ","2,465","9,683",295,505,65,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=19637545 ","Processador: Intel Dual Core Celeron N3350 - 2,00 GHz  <BR>Memória RAM: 4 GB  <BR>Capacidade: 1 TB  <BR>Placa Gráfica: Intel HD Graphics 500  <BR>S.O.: Windows 10  <BR>Monitor: Ecrã HD de 15,6 polegadas<BR>Resolução: 1366 x 768  <BR>Conectividade: 2 x USB 2.0<BR>USB 3.0<BR>Wi-Fi<BR>Bluetooth  <BR>Peso: 2,00 Kg  <BR>Bateria: Até 33 horas  <BR>Cor: Chocolate Black  <BR>Garantia: 2 anos<BR>-","Processador:Intel Dual Core Celeron N3350 - 2,00 GHz <br>Memória RAM:4 GB <br>Capacidade:1 TB <br>Placa Gráfica:Intel HD Graphics 500 <br>S.O.:Windows 10 <br>Monitor:Ecrã HD de 15,6 polegadas<BR>Resolução: 1366 x 768 <br>Conectividade:2 x USB 2.0<BR>USB 3.0<BR>Wi-Fi<BR>Bluetooth <br>Peso:2,00 Kg <br>Bateria:Até 33 horas <br>Cor:Chocolate Black <br>Características:Câmara Web <br>Garantia:2 anos<br>",,,Não,
