PRODUTO;REFERENCIA;P_LIQ;QTD_STOCK;GAMA;FAMILIA;SUB-FAMILIA;MARCA;EAN;DETALHES;IMAGEM_IMPORTADA;ETIQUETA_ENERGETICA;MANUAL_INSTRUCOES;ESQUEMA_TECNICO
MAQUINA LAVAR LOUÇA BOSCH SMV-40-D-00-EU;26208;344.37;5;ENCASTRE;MAQUINAS LAVAR LOUÇA ENCASTRE;MAQUINAS LAVAR LOUÇA ENCASTRE TOTAL;BOSCH | LINHA BRANCA;4242002723280;"Capacidade para 12 serviços
<br>4 Programas: Normal 65, Eco 50, Rápido 45, Pré-lavagem 
<br>1 Função especial: Meia Carga
<br>Sistema hidráulico ActiveWater
<br>Assistente de dosagem
<br>Sensor de carga
<br>Identificação automática do tipo de detergente
<br>Regeneração electrónica
<br>Filtro auto-limpante tripartido
<br>Indicação electrónica de “falta de sal“
<br>Indicação electrónica de “falta de abrilhantador“
<br>AquaStop com garantia vitalícia contra danos provocados por eventuais fugas de água
<br>Sistema GlassProtec
<br>Pés traseiros reguláveis pela frente
<br>Protecção contra vapores
<br>Classe de eficiência energética: A+
<br>Dimensões (AxLxP): 815x598x550 mm
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/026208.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/4242002723280.png;;
MAQUINA LAVAR LOUÇA BOSCH SMV-41-D-10-EU;26217;351.08;5;ENCASTRE;MAQUINAS LAVAR LOUÇA ENCASTRE;MAQUINAS LAVAR LOUÇA ENCASTRE TOTAL;BOSCH | LINHA BRANCA;4242002810577;"Capacidade para 12 serviços
<br>4 Programas: Normal 65 °C, Eco 50 °C, Rápido 45 °C e Pré-lavagem
<br>1 Função especial: VarioSpeed
<br>Sistema hidráulico ActiveWater
<br>Assistente de dosagem
<br>AquaSensor, Sensor de carga
<br>Identificação automática do tipo de detergente
<br>Regeneração electrónica
<br>Sistema de filtragem com auto-limpeza tripartido
<br>InfoLight
<br>Sistema de cesto vario
<br>Cesto superior regulável em altura
<br>Suportes rebatíveis no cesto inferior (2x)
<br>AquaStop com garantia vitalícia contra danos provocados por eventuais fugas de água
<br>Sistema GlassProtec
<br>Pés traseiros reguláveis pela frente
<br>Protecção contra vapores
<br>Duração do programa Eco 50: 210 min
<br>Nível de ruído: 48 dB (re 1 pW)
<br>Classe de eficiência de secagem: A
<br>Classe de eficiência energética: A++
<br>Dimensões (AxLxP): 815x598x550 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/026217.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/4242002810577.png;;
COMBINADO BOSCH KGV-36-VW-32-S;26382;377.03;(5+);FRIO;COMBINADOS;COMBINADOS 180-189CM;BOSCH | LINHA BRANCA;4242002799629;"Capacidade bruta/útil total: 312/309 litros
<br>Capacidade útil do frigorifico: 215 litros
<br>Capacidade útil do congelador: 94 litros
<br>Iluminação interior por LEDs no compartimento de refrigeração
<br>Regulação electrónica da temperatura, através de visor de LEDs
<br>Opção Super Congelação
<br>Puxadores verticais integrados na porta
<br>Ventilado
<br>4 prateleiras de vidro das quais 3 prateleiras extensíveis e 2 ajustáveis
<br>em altura
<br>Suporte para garrafas cromado
<br>1 prateleira(s) grande(s) na porta, 2 prateleiras pequenas na porta
<br>CrisperBox - gaveta para legumes com regulação de humidade e railes
<br>telescópicos
<br>LowFrost - menor criação de gelo
<br>Capacidade de congelação: 7 kg em 24 h
<br>Cap. autonomia em caso de anomalia: 23 horas
<br>Vario Freezing - prateleiras de vidro extraíveis entre cada gaveta
<br>3 gavetas transparentes, incluíndo 1 BigBox
<br>Nível de ruído: 39 dB (re 1 pW)
<br>Consumo de energia: 227 kWh/ano
<br>Classe de eficiencia energética: A++
<br>Dimensões (AxLxP): 1860x60x650 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/kgv-36-vw-32-s.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/4242002799629.png;;
COMBINADO BOSCH KIV-34-V-21-FF;26385;479.62;4;ENCASTRE;COMBINADOS ENCASTRE;COMBINADOS ENCASTRE 170-179CM;BOSCH | LINHA BRANCA;4242002521930;"Capacidade bruta/útil total: 285/267 litros
<br>Capacidade útil do frigorifico: 199 litros
<br>Capacidade útil do congelador: 68 litros
<br>Nível de ruído: 40 dB (re 1 pW)
<br>Classe de eficiencia energética: A+
<br>Consumo de energia: 275 kWh/ano
<br>Nível de ruído: 40 dB (re 1 pW)
<br>Dimensões do nicho: A1775 x L562 x P550 mm
<br>Medidas do produto: A1772 x L541 x P545 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/026385.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/4242002521930.png;;
FRIGORIFICO BOSCH KDV-29-VW-30;26455;PRICE_LIQ_82919;0;FRIO;FRIGORIFICOS 2 PORTAS;FRIGORIFICOS 2P 160-169CM;BOSCH | LINHA BRANCA;4242002620060;"Capacidade bruta/útil total: 267/264 litros
<br>Capacidade útil do frigorífico: 194 litros
<br>Capacidade útil do congelador: 70 litros
<br>Ventilado
<br>Gaveta para legumes
<br>Suporte para garrafas cromado
<br>4 prateleiras de vidro de segurança, incluindo 3 prateleiras extensíveis
<br>Iluminação interior por LEDs
<br>Opção Super Congelação
<br>LowFrost - menor criação de gelo
<br>1 Prateleira de vidro
<br>Regulação electrónica da temperatura, através de visor de LEDs
<br>Pés frontais ajustáveis em altura e rodas traseiras
<br>Puxadores verticais integrados na porta
<br>Capacidade de congelação: 7 kg em 24 h
<br>Cap. autonomia em caso de anomalia: 25 horas
<br>Porta com sentido de abertura à direita, permutável
<br>Nível de ruído:39 db
<br>Classe climática: SN-T
<br>Classe de eficiencia energética: A++
<br>Dimensões do Produto: A1610xL600xP650 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/026455_kdv-29-vw-30.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/4242002620060.png;;
FRIGORIFICO BOSCH KDV-33-VW-32;26468;360.64;3;FRIO;FRIGORIFICOS 2 PORTAS;FRIGORIFICOS 2P 170-179CM;BOSCH | LINHA BRANCA;4242002816128;"Capacidade bruta/útil total: 303/300 litros
<br>Branco
<br>LowFrost
<br>Puxadores verticais integrados na porta
<br>Regulação electrónica da temperatura, através de visor de LEDs
<br>FRIGORIFICO
<br>Capacidade útil do frigorifico: 230 litros
<br>PowerVentilation System - frio ventilado
<br>CrisperBox - gaveta para legumes com regulação de humidade e railes telescópicos - mantém frutas e legumes frescos
<br>Suporte para garrafas cromado
<br>4 prateleiras de vidro, das quais 3 prateleiras extensíveis
<br>1 prateleira(s) grande(s) na porta, 3 prateleiras pequenas na porta
<br>Iluminação interior por LEDs no compartimento de refrigeração
<br>Capacidade útil do congelador: 70 litros
<br>Opção Super Congelação
<br>LowFrost - menor criação de gelo
<br>prateleira(s) de vidro
<br>Capacidade de congelação: 7 kg em 24 h
<br>Cap. autonomia em caso de anomalia: 25 horas
<br>Classe climática: SN-T
<br>Porta com sentido de abertura à direita, permutável
<br>Pés frontais ajustáveis em altura e rodas traseiras
<br>Classificação Energética: A++
<br>Dimensões do Produto: A1760xL600xP650 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/026468.jpg;;;
MAQUINA LAVAR LOUÇA BOSCH SMS-40-D-22-EU;26688;PRICE_LIQ_81764;0;MAQUINAS LOUÇA;MAQUINAS LAVAR LOUÇA;MAQUINAS LAVAR LOUÇA BRANCAS;BOSCH | LINHA BRANCA;4242002711409;"12 talheres
<br>Sistema hidráulico ActiveWater
<br>Assistente de dosagem
<br>AquaSensor, Sensor de carga
<br>Identificação automática do tipo de detergente
<br>Filtro auto-limpante tripartido
<br>Programação diferida entre 3, 6, 9 horas
<br>Cesto para talheres no cesto inferior
<br>Suporte para chávenas no cesto superior (2x)
<br>Suporte para copos no cesto superior
<br>Sistema GlassProtec
<br>AquaStop com garantia vitalícia contra danos provocados por eventuais fugas de água
<br>Classe de eficiência energética: A+
<br>Dimensões (AxLxP): 845x600x600 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/026688.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/4242002711409.png;;
PLACA BOSCH PIE-645-FB-1-E;26907;335.74;0;ENCASTRE;PLACAS INDUÇAO;PLACAS INDUÇAO 60CM;BOSCH | LINHA BRANCA;4242002875088;"Tipo: Elétrica Indução
<br>Número de queimadores: 4
<br>Tipo de queimador: Indução
<br>Tipo de superfície: Vitrocerâmica
<br>Isqueiro eléctrico: Sim
<br>Acabamento: Inox
<br>Bloqueio de segurança: Sim
<br>Potência: 7400 W
<br>Comandos frontais/ laterais: Frontais
<br>Tipo de gás: N/A
<br>Tipo de controlo: Digital
<br>Design: Aro Inox
<br>Mais informações: DirectSelect; PowerBoost
<br>Nº de placas eléctricas: 4
<br>Conteúdo extra incluído na caixa: Manual de Instruções
<br>Cor: Preto
<br>Dimensões (AxLxP): 55x583x513 mm
<br>Dimensões de encastre  (AxLxP): 55x560x500 mm
<br>
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/026907.jpg;;;
PLACA BOSCH PKM-875-DP-1-D;27405;396.17;0;ENCASTRE;PLACAS VITROCERAMICAS;PLACAS VITROCERAMICAS 80CM;BOSCH | LINHA BRANCA;4242002845043;"DIRECT SELECT premium
<br>ReStart
<br>display digital TopControl
<br>Cronômetro de fogão
<br>Temporizador com função de desligamento para cada zona de cozinhar
<br>função PowerBoost
<br>5 zonas de cozedura de alta velocidade, incluindo
<br>1 Combizone
<br>2 focos de duplo circuito comutáveis
<br>17 níveis de potência
<br>Indicador de consumo de energia
<br>desligamento automático de segurança
<br>trancada
<br>indicador de calor residual de 2 estágios para cada zona de cozinhar
<br>Limpe função de proteção
<br>interruptor principal
<br>Dimensões (AxLxP): 44x816x527 mm
<br>Dimensões de encastre (AxLxP): 44x780x500 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/027405.jpg;;;
PLACA ORIMA ORQ-42-IT  4G;30420;71.28;(5+);ENCASTRE;PLACAS A GAS;PLACAS A GAS 60CM;ORIMA;5603883208492;"3 queimadores a gás + 1 triplo
<br>Válvulas de segurança
<br>Comandos frontais
<br>Ignição automática
<br>Dimensões do Produto: A95xL590xP500 mm
<br>
<br>Preparado para gás butano/propano 
<br>Traz kit p/ gás natural
<br>
<br>
<br>
<br>
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/model_-_orq_42_it_esquema.jpg;;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883208492.pdf;
FOGAO MEIRELES E-611-X;30601;399.38;2;QUEIMA;FOGOES;FOGOES VITROCERAMICOS;MEIRELES;5604409126047;"Vitrocerâmica
<br>4 zonas hi-light
<br>Zona dupla concêntrica
<br>Espaldar
<br>Forno eléctrico multifunções: 8 funções
<br>Relógio digital com programador electrónico 
<br>Guias telescópias
<br>Tabuleiro de recolha de molhos
<br>Porta amovível com vidro triplo<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/030601.jpg;;;
FOGAO MEIRELES N-500-X-BAIXO  GAS BUT.;30602;169.29;(5+);QUEIMA;FOGOES;FOGOES BAIXOS 50X55;MEIRELES;5604409100580;"Aço inoxidável
<br>4 queimadores a gás de alta eficiência 
<br>Válvulas de segurança 
<br>2 grelhas esmaltadas
<br>Forno a gás 
<br>Volume útil 55L 
<br>Válvula de segurança 
<br>Grelha e tabuleiro de recolha de molhos 
<br>Porta amovível com vidro duplo
<br>Dimensão do Produto:
<br>A580xL535xP565 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/030602.jpg;;;
FOGAO MEIRELES N-510-W GAS BUT.;30604;166.31;(5+);QUEIMA;FOGOES;FOGOES MONOBLOCO 50/55CM;MEIRELES;5604409139771;"4 queimadores de alta eficiência
<br>2 Grelhas esmaltadas
<br>Mesa de trabalho e Aço inoxidável
<br>Forno a gás, 55L
<br>Grelha e tabuleiro de recolha de molhos
<br>Estufa Fixa
<br>Porta amovível com vidro duplo
<br>Branco
<br>Dimensão do Produto:
<br>A850xL535xP565 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/030604.jpg;;;
FOGAO MEIRELES N-510-X GAS BUT.;30605;172.27;0;QUEIMA;FOGOES;FOGOES MONOBLOCO 50/55CM;MEIRELES;5604409139788;"4 queimadores de alta eficiência
<br>Grelhas esmaltadas
<br>Forno a gás
<br>Grelha e tabuleiro de recolha de molhos
<br>Porta amovível com vidro duplo
<br>Dimensão do Produto:
<br>A850xL530.5xP560.5 mm
<br>Inox<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/030605.jpg;;;
FOGAO MEIRELES N-921-W GAS BUT.;30606;234.86;0;QUEIMA;FOGOES;FOGOES PORTA GARRAFA;MEIRELES;5604409139849;"Aço inoxidável
<br>5 queimadores a gás de alta eficiência 
<br>Queimador Wok
<br>Válvulas de segurança 
<br>Grelhas esmaltadas
<br>Forno a Gás
<br>Termóstato
<br>Válvula de segurança 
<br>Grelha e tabuleiro de recolha de molhos
<br>Porta amovível com vidro duplo
<br>Estufa
<br>Armário para garrafa de gás 
<br>Pés reguláveis
<br>Cor: Branco
<br>Dimensão do Produto:
<br>A850xL880xP545 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/030606.jpg;;;
FOGAO MEIRELES E-532-X GAS BUT.;30612;227.69;(5+);QUEIMA;FOGOES;FOGOES MONOBLOCO 50/55CM;MEIRELES;5604409182029;"Aço inoxidável
<br>3 queimadores a gás de alta eficiência
<br>Válvulas de segurança
<br>1 placa eléctrica
<br>Grelhas esmaltadas
<br>Forno electrico
<br>Estufa
<br>Pés reguláveis
<br>Dimensão do Produto:
<br>A850xL565xP600 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/030612.jpg;;;
FOGAO MEIRELES N-600-X  GAS BUT.;30614;203.86;(5+);QUEIMA;FOGOES;FOGOES MONOBLOCO 60CM;MEIRELES;5604409139900;"4 queimadores de alta eficiência
<br>Grelhas esmaltadas
<br>Forno a gás
<br>Termóstato
<br>Grelha e tabuleiro de recolha de molhos
<br>Porta amovível com vidro duplo
<br>Pés reguláveis
<br>Dimensão do Produto:
<br>A850xL600xP600 mm
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/030614.jpg;;;
FOGAO MEIRELES M-601-X  GAS BUT.;30616;238.44;3;QUEIMA;FOGOES;FOGOES MONOBLOCO 60CM;MEIRELES;5604409140272;"Aço inoxidável
<br>4 queimadores a gás de alta eficiência
<br>Queimador wok
<br>Acendimento electrónico
<br>Válvulas de segurança 
<br>Grelhas esmaltadas
<br>Forno a gás com acendimento automático
<br>Termóstato
<br>Válvula de segurança
<br>Grelhador eléctrico
<br>Relógio conta-minutos
<br>Luz
<br>Grelha e tabuleiro de recolha de molhos 
<br>Porta amovível com vidro duplo
<br>Pés reguláveis
<br>Dimensão do Produto:
<br>A850xL600xP600 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/030616.jpg;;;
FOGAO MEIRELES E-602-X  GAS BUT.;30617;238.44;0;QUEIMA;FOGOES;FOGOES MONOBLOCO 60CM;MEIRELES;5604409142887;"4 queimadores a gás de alta eficiência
<br>Acendimento electrónico
<br>Válvulas de segurança
<br>2 grelhas esmaltadas
<br>Forno eléctrico multifunções: 6 funções
<br>Forno ventilado
<br>Relógio conta-minutos 
<br>Termóstato
<br>Luz
<br>Grelha e tabuleiro de recolha de molhos
<br>Porta amovível com vidro duplo
<br>Pés reguláveis
<br>Dimensão do Produto:
<br>A850xL600xP600 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/030617.jpg;;;
ROBOT BOSCH MCM-3201-B       CX.1;60122;106.7;1;PEQUENOS DOMESTICOS;COZINHA;ROBOTS DE COZINHA;BOSCH | PEQUENOS DOMESTICOS;4242002853352;"Mais de 30 funções: picar, ralar, misturar e muitas outras - graças aos versáteis acessórios tais como a lâmina multifuncional em aço inoxidável e a lâmina MultiLevel6. 
<br>Misturador com lâminas MultiLevel6: bons resultados graças a três lâminas duplas - os ingredientes são cortados de forma precisa e os batidos e granizados são uniformemente misturados. 
<br>Prático: os acessórios podem ser guardados no recipiente, estando sempre à mão quando mais precisa. Graças às marcações inteligentes, os acessórios podem ser montados rapidamente. 
<br>Mais espaço livre na sua cozinha, graças ao seu design compacto. 
<br>Limpeza fácil e prática. Os acessórios são aptos para a máquina de lavar loiça. 
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/060122.jpg;;;
GRELHADOR BOSCH TFB-4402-V CX.3;60403;81.42;(5+);PEQUENOS DOMESTICOS;COZINHA;GRELHADORES DE PLACAS;BOSCH | PEQUENOS DOMESTICOS;4242002685984;"1800 Watt - 220-240 V
<br>Grelhador de placas com aquecimento superior e inferior para grelhar, gratinar e manter quente
<br>Grelhas Inclinadas com canais de drenagem da gordura em excesso, para dentro de duas bandejas incluídas 
<br>Dobradiça flutuante que permite que alimentos mais espessos possam ser uniformente cozinhados
<br> Grande superfície: 328 x 238mm 
<br>Grelhas de fácil limpeza em aluminio com Revestimento anti-aderente Placas removíveis para limpeza 
<br>Regulação contínua da temperatura, com interruptor de ligar/desligar integrado 
<br>Lâmpada de controlo com indicação de pronto a grelhar - logo que seja atingida a temperatura pretendida, a lâmpada de controlo apaga-se 
<br>Guia para grelhar incluído no manual de instruções
<br>Possibilidade de arrumar na posição vertical 
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/tfb4402.jpg;;;
BATEDEIRA BOSCH MFQ-3010  CX4;60708;20.35;(5+);PEQUENOS DOMESTICOS;COZINHA;BATEDEIRAS;BOSCH | PEQUENOS DOMESTICOS;4242002439808;"300 W
<br>4 velocidades
<br>Turbo
<br>Varetas para bater e amassar<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/mfq-3010.jpg;;;
BATEDEIRA BOSCH MFQ-36400 CX4;60715;29.18;0;PEQUENOS DOMESTICOS;COZINHA;BATEDEIRAS;BOSCH | PEQUENOS DOMESTICOS;4242002718491;"450 Watt 
<br>Motor de tecnologia moderna: Potente, leve e silencioso 
<br>Manuseio excelente através de pega em Soft Touch, botões largos e bem acessíveis e design ergonómico 
<br>5 velocidades 
<br>Botão turbo 
<br>2 varas turbo para bater e mexer com resultados perfeitos 
<br>2 varas em aço inoxidável para amassar 
<br>Botão independente para expulsão das varas 
<br>Cabo é enrolado de modo a armazenar rapidamente e de forma compacta 
<br>Possibilidade de encaixar um pé de varinha 
<br>Um pé de varinha pode ser ligado e desligado dentro de segundos devido ao nosso sistema patenteado de clique
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/mfq36400.jpg;;;
VARINHA BOSCH MSM-66110 CX6;60825;28.5;0;PEQUENOS DOMESTICOS;COZINHA;VARINHAS;BOSCH | PEQUENOS DOMESTICOS;4242002678160;"600 Watt 
<br>Varinha potente 
<br>Manuseio excelente através de pega em Soft Touch, botões largos e bem acessíveis e design ergonómico 
<br>Lâmina inovadora de 4 cortes para resultados perfeitos 
<br>Silenciosa, baixa vibração do motor 
<br>Botão turbo para desempenho máximo 
<br>Pé em aço inoxidável de elevada qualidade 
<br>Pé de fácil extracção com botão de ejecção 
<br>Pé da varinha e acessórios (excepto motor) são aptos para máquina de lavar loiça 
<br>Copo misturador transparente e graduado 
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/msm66110.jpg;;;
VARINHA BOSCH MSM-66120  CX.6;60827;37.32;0;PEQUENOS DOMESTICOS;COZINHA;VARINHAS;BOSCH | PEQUENOS DOMESTICOS;4242002681450;"600 Watt 
<br>Varinha potente 
<br>Manuseio excelente através de pega em Soft Touch, botões largos e bem acessíveis e design ergonómico 
<br>Lâmina inovadora de 4 cortes para resultados perfeitos
<br> Silenciosa, baixa vibração do motor 
<br>Velocidade regulável 
<br>Botão turbo para desempenho máximo 
<br>Pé em aço inoxidável de elevada qualidade 
<br>Pé de fácil extracção com botão de ejecção 
<br>Pé da varinha e acessórios (excepto motor) são aptos para máquina de lavar loiça 
<br>Copo misturador transparente e graduado 
<br>Picador para frutos secos, cebolas, carne, queijo, etc. 
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/msm66120.jpg;;;
CENTRIFUGADORA BOSCH MES-25-A-0  CX1;60914;88.21;5;PEQUENOS DOMESTICOS;COZINHA;CENTRIFUGADORAS;BOSCH | PEQUENOS DOMESTICOS;4242002812151;"700 W
<br>2 velocidades
<br>Bocal de enchimento extra largo (73 mm), pelo que não e necessário pré-cortar
<br>Depósito para sumo com capacidade 1,25 l
<br>Depósito amovível para a polpa, com 2 l de capacidade
<br>Sistema antigotas
<br>Sistema de segurança.<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/060914.jpg;;;
CAFETEIRA BOSCH TKA-8011    CX.2;61126;67.85;(5+);PEQUENOS DOMESTICOS;PEQUENO-ALMOÇO;CAFETEIRAS;BOSCH | PEQUENOS DOMESTICOS;4242002594958;"1160 W
<br>10/15 chávenas
<br>Jarro vidro
<br>1,25l
<br>Função ""Volume Automatic"" para um aroma ideal
<br>Função ""Dual Heating System"": o melhor paladar de café
<br>Devido à ideal regulação da temperatura na preparação da bebida ou na manutenção do café quente
<br>Sistema Antigota<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/tka-8011.jpg;;;
LIQUIDIFICADOR BOSCH MMB-42-G-0-B CX.1;61299;74.64;1;PEQUENOS DOMESTICOS;COZINHA;LIQUIDIFICADORES;BOSCH | PEQUENOS DOMESTICOS;4242002855356;"700 W
<br>Jarro em vidro ThermoSafe (2,3l) para uma preparação segura de sopas quentes e bebidas frias
<br>Lâminas em aço inoxidável KlickKnife de fácil limpeza: precisão a cortar, picar e misturar
<br>Apto para picar gelo<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/061299.jpg;;;
JARRO BOSCH TWK-3-A-011 CX4;61309;26.12;4;PEQUENOS DOMESTICOS;PEQUENO-ALMOÇO;JARROS ELECTRICOS;BOSCH | PEQUENOS DOMESTICOS;4242002717616;"2400 Watt
<br>Para 1.7 l de água 
<br>Desligar automático
<br>Desligar ao levantar
<br>Base interior em aço inoxidável com resistência oculta 
<br>Protecção contra sobre-aquecimento 
<br>Filtro de calcário removível 
<br>Base 360º 
<br>Duplo indicador do nível de água 
<br>Fácil enchimento através do bico ou da tampa 
<br>Abertura larga para fácil limpeza 
<br>Tampa de segurança com desligar automático interruptor on/off iluminado 
<br>Pés anti-deslizantes 
<br>Recolhedor de cabo 
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/twk3a011.jpg;;;
FRIGORIFICO WHIRLPOOL ARC-104/1 A+;150403;156.68;0;FRIO;FRIGORIFICOS 1 PORTA;FRIGORIFICOS 1P COOLER <120CM;WHIRLPOOL;8003437945571;"Capacidade bruta/liquida: 121 / 118 L
<br>Com congelador de 15L
<br>2 prateleiras
<br>Pés ajustáveis à frente
<br>Período de armazenamento em caso de falha de energia: 10 h
<br>Nível de ruído 39 dB
<br>Consumo de energia annual 175 kWh/annum
<br>Classe de Eficiência Energética: A+
<br>Dimensões do Produto: A850xL550xP580 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/150403.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/8003437945571.png;;
FRIGORIFICO WHIRLPOOL WTE-3322-A+ NFTS;150530;324.76;0;FRIO;FRIGORIFICOS 2 PORTAS;FRIGORIFICOS 2P 180-189CM;WHIRLPOOL;8003437896439;"Capacidade bruta/liquida: 356 / 331 L
<br>No Frost
<br>Interruptor para Refrigeração Rápida
<br>6º SENTIDO Fresh Control
<br>Antibactérias Microban
<br>Multiflow
<br>Nível de ruído 42 dB
<br>Consumo de energia annual 294 kWh/annum
<br>Classe de Eficiência Energética: A+
<br>Dimensões do Produto: A1895xL595xP640 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/150530.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/8003437896439.png;;
FORNO WHIRLPOOL AKP-444-IX;152145;178.37;1;ENCASTRE;FORNOS;FORNOS ESTATICOS;WHIRLPOOL;8003437934469;"Volume útil (da cavidade): 56L
<br>4 níveis de posição
<br>Programador mecânico
<br>Tipo de controlo: Mecânicos
<br>Entrada de energia: Electricidade
<br>Classe de Eficiência Energética : A
<br>Dimensões (AxLxP): 630x650x690 mm
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/152145.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/8003437934469.png;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/8003437934469.pdf;
SIDE BY SIDE LG GSL-761-PZXV;171004;751.89;0;FRIO;FRIGORIFICOS SIDE BY SIDE;FRIGORIFICOS SIDE BY SIDE S/LIGAÇAO REDE;LG | LINHA BRANCA;6934585683317;"Capacidade Bruta Total: 668 lts
<br>Capacidade Bruta Congelador: 246 lts
<br>Capacidade Bruta Frigorífico: 422 lts
<br>Capacidade Líquida Total: 601 lts
<br>Capacidade Líquida Congelador: 196 lts
<br>Capacidade Líquida Frigorífico: 405 lts
<br>Ecrã LED - Exterior
<br>Capacidade de Congelação (kg/24 h): 12
<br>Compressor Linear 
<br>Express Freeze 
<br>Bloqueio para crianças 
<br>Alarme na Porta 
<br>Express Cool 
<br>Smart Diagnosis
<br>Sistema de Refrigeração: NoFrost
<br>Multi-Air Flow 
<br>Tipo de Pega: Plástico
<br>Dispensador de Água 
<br>Dispensador de Gelo (Cubos de Gelo) 
<br>Função de Gelo Picado
<br>Sem ligação à rede de água
<br>FRIGORIFICO:
<br>Lâmpada LED (1)
<br>Espaço Produtos Lácteos: (1)
<br>Fresh Zone 
<br>Desodorizante 
<br>Moist Balance Crisper
<br>CONGELADOR:
<br>Lâmpada LED (1)
<br>Máquina de gelo
<br>Cesto na porta: (2)
<br>Prateleira: (4)
<br>Gaveta: (2)
<br>Classe energética: A+
<br>Dimensões (AxLxP): 1790x912x738 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/171004.jpg;;;
